Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
229239649,"De Bible Belt: Een waarachtige zoektocht naar geloof, hoop en liefde in Nederland",Jonah Falke,"Falke, Jonah",,"=""9400410735""","=""9789400410732""",0,4.00,Thomas Rap,Paperback,320,2025,2025,,2025/03/21,to-read,to-read (#160),to-read,,,,0,0
23281693,Grain of Truth: The Real Case For and Against Wheat and Gluten,Stephen Yafa,"Yafa, Stephen",Dana Hickox,"=""1594632499""","=""9781594632495""",0,3.74,Avery,Hardcover,304,2015,2015,,2025/03/17,"audiobook, english, currently-reading","audiobook (#208), english (#486), currently-reading (#50)",currently-reading,,,,1,0
16157092,"Het Zwaard van het Lot (De Hekser, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",Corry van Bree,"=""9049952461""","=""9789049952464""",0,4.27,Mistral,Paperback,429,2012,1992,,2025/03/14,"audiobook, dutch, currently-reading","audiobook (#207), dutch (#255), currently-reading (#49)",currently-reading,,,,1,0
15841320,"De laatste wens (De Hekser, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""9049500366""","=""9789049500368""",4,4.14,De Vliegende Hollander,Paperback,352,2011,1993,2025/03/09,2025/03/08,"audiobook, dutch","audiobook (#206), dutch (#254)",read,,,,1,0
130514,The Happy Isles of Oceania: Paddling the Pacific,Paul Theroux,"Theroux, Paul",,"=""0449908585""","=""9780449908587""",0,4.02,Ballantine,Paperback,528,1993,1992,,2024/11/26,"books-i-own, bought-used, english, paperback, wrong-cover, wrong-edition, did-not-finish","books-i-own (#713), bought-used (#68), english (#482), paperback (#651), wrong-cover (#132), wrong-edition (#123), did-not-finish (#22)",did-not-finish,,,,1,0
60043201,"Life Admin Hacks: The step-by-step guide to saving time and money, reducing the mental load and streamlining your life",Mia Northrop,"Northrop, Mia",Dinah Rowe-Roberts,"=""1460713621""","=""9781460713624""",0,3.57,HarperCollins ,Kindle Edition,400,2022,,,2025/02/09,"audiobook, english, did-not-finish","audiobook (#204), english (#485), did-not-finish (#21)",did-not-finish,,,,1,0
864286,"Faust, and the Urfaust",Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",John R.     Williams,"=""1840221151""","=""9781840221152""",4,3.97,Wordsworth Editions,Paperback,468,1999,,2015/01/01,2022/09/27,"books-i-own, wrong-edition, paperback, english, wrong-cover","books-i-own (#286), wrong-edition (#40), paperback (#271), english (#112), wrong-cover (#76)",read,,,,1,0
40662182,Manual de guerrero de la luz,Paulo Coelho,"Coelho, Paulo",,"=""9707802928""","=""9789707802926""",3,3.52,GRIJALBO MONDADORI,Paperback,157,2000,,2009/02/10,2022/09/27,"books-i-own, paperback, spanish","books-i-own (#296), paperback (#280), spanish (#4)",read,,,,1,0
1165759,"Koning van Katoren (Katoren, #1)",Jan Terlouw,"Terlouw, Jan",Dirk van der Maat,"=""9060690885""","=""9789060690888""",3,4.13,Lemniscaat,Hardcover,168,1971,1971,2025/03/02,2025/02/23,"audiobook, dutch","audiobook (#205), dutch (#253)",read,,,,1,0
20320379,Jevgeni Onegin: een roman in verzen,Alexander Pushkin,"Pushkin, Alexander","L.H.M. Van Stekelenburg, Frans-Joseph van Agt","=""9025406815""","=""9789025406813""",4,4.23,Atlas,Paperback,246,1994,,2020/11/26,2022/09/24,"books-i-own, paperback, english","books-i-own (#93), paperback (#26), english (#246)",read,,,,1,0
