"","Portefeuilleoverzicht Dutch Good Growth Fund per polis (stand in euro)","","","","","","",""
"December","2023","","","","","","",""
"polis","produkt","eind","verzekerde","debiteur","sector","bruto nominaal","netto reëel
premie","bevoorschot
schade
provenu"
"nummer","","datum","naam","naam","","obligo","obligo",""
"","","","","","Totaal land","1.600.521","1.271.292
38.498",""
"Midden Oosten","","","","","","","",""
"Egypte (premieklasse: 6)","","","","","","","",""
"1027644","polis","25-sep-2023","HEEMSKERK B.V.","MULTI COMMERCE CO","Other","2.736.451","0
128.390","1.456.781"
"1073053","polis","30-jun-2023","GEA FOOD SOLUTIONS WEERT B.V.","HMTO FOR IMPORT AND EXPORT C","Machinery and electronics","383.485","0
10.291","308.581
185.583"
"1082368","polis","01-okt-2023","PAS REFORM B.V.","DELTA MASR FOR HATCHING","Machinery and electronics","1.781.000","152.444
72.803","1.326.475
591.111"
"1113906","polis","01-jun-2026","MEAF MACHINES B.V.","AL MOMYAZON FOR INDUSTRY & TR","Machinery and electronics","746.400","399.840
50.271","640.672
129.029"
"","","","","","Totaal land","5.647.336","552.284
261.755","2.275.728
1.456.781
905.724"
"Irak (premieklasse: 7)","","","","","","","",""
"1222827","polis","07-apr-2025","SAVAL B.V.","URUK ENGINEERING SERVICES CO","Metals, Mining, Minerals","1.139.684","1.139.684
58.180",""
"1228133","polis","07-feb-2025","SAVAL B.V.","URUK ENGINEERING SERVICES CO","Metals, Mining, Minerals","183.087","122.169
9.237",""
"","","","","","Totaal land","1.322.771","1.261.853
67.417",""
"","","","","","Totaal polissen","199.823.718","162.853.799
14.286.510","49.511.975
5.962.844
14.689.801"
"","","","","","Totaal dekkingstoezeggingen","0","0",""
"","","","","","Totaal risico","199.823.718","162.853.799",""
"","","","","","Totaal dekkingsadviezen","14.872.037","14.872.037",""
"7_10_stock_dggf","","","","","© Atradius 2014","","","Page 6 of 6"
