"DGGF","","","","","","","","",""
"Somali Republiek","","","","","","","","",""
"1083543 - INDEPENDENT ENERGY B.V.","","140.941","","","","","140.941","","281.881"
"Zimbabwe","","","","","","","","",""
"1256220 - GO & GROW FARM SOLUTIONS","","","38.746","","","","","37.322","76.069"
"1159557 - GO & GROW FARM SOLUTIONS","","","47.822","","","","","46.506","94.328"
"1167044 - PAS REFORM B.V.","","","","83.522","","","","","83.522"
"1198329 - GO & GROW FARM SOLUTIONS","","","","","15.551","","","","15.551"
"1214061 - GO & GROW FARM SOLUTIONS","","","","","94.533","","","","94.533"
"1227826 - AAAS ENERGY B.V.","25.613","","","","","25.214","","","50.827"
