"December
2023","","","","","","","","","","","","",""
"","","","","signalerings-","landen-","","dekkings-","","","dekkings-","","",""
"","","","","plafond","plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse","beleid","IMF/WB","DGGF","","","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Afghanistan (7)","uitzondering","Zero non-concessional borrowing limit","ja","150.000.000","200.000.000","0","0","0","0","0","0","0","200.000.000"
"Albaniº (5)","beperkt","","nee","1.125.000.000","1.500.000.000","0","0","0","410","0","394.692.708","410","1.500.000.000"
"Algerije (5)","beperkt","","ja","1.500.000.000","2.000.000.000","0","0","0","248.355","0","0","248.355","2.000.000.000"
"Andorra (0)","geen beleid","","nee","375.000.000","500.000.000","","","","","","","0","500.000.000"
"Angola (6)","beperkt","","ja","675.000.000","900.000.000","42.601.107","0","0","148.599","202.445.380","1.011.907.242","42.749.706","857.398.893"
"Anguilla (0)","geen beleid","","nee","","","","","","","","","0",""
"Antigua & Barbuda (7)","uitzondering","","nee","35.000.000","50.000.000","0","0","745","1.458.966","0","0","1.459.711","50.000.000"
"Argentiniº (7)","uitzondering","","nee","300.000.000","400.000.000","14.780.482","0","9.708.117","147.298.058","0","0","171.786.657","385.219.518"
"Armeniº (6)","beperkt","","ja","350.000.000","450.000.000","","","","","","","0","450.000.000"
"Aruba (5)","beperkt","","nee","200.000.000","250.000.000","0","0","0","0","0","0","0","250.000.000"
"Australiº (0)","open","","nee","","","0","0","0","0","0","0","0",""
"Azerbeidzjan (4)","beperkt","","nee","2.250.000.000","3.000.000.000","","","","","","","0","3.000.000.000"
"Bahama’s (4)","beperkt","","nee","375.000.000","500.000.000","15.136.370","26.487.680","0","0","0","0","41.624.050","458.375.950"
"Bahrein (6)","beperkt","","nee","700.000.000","525.000.000","","","","","","","0","525.000.000"
"Bangladesh (5)","beperkt","No conditionality","ja","1.500.000.000","2.000.000.000","43.827.072","30.832.884","0","0","0","0","74.659.956","1.925.340.044"
"Barbados (6)","beperkt","","nee","85.000.000","115.000.000","","","","","","","0","115.000.000"
"Belgiº (0)","open","","nee","","","246.641.304","228.494.710","0","0","0","0","475.136.014",""
"Belize (7)","uitzondering","","nee","35.000.000","50.000.000","0","12.586.532","0","0","0","0","12.586.532","37.413.468"
"Benin (6)","beperkt","Non-zero non-concessional borrowing limit","ja","525.000.000","700.000.000","0","48.611.984","0","0","0","0","48.611.984","651.388.016"
"Bermuda (0)","open","","nee","","","","","","","","","0",""
"Bhutan (6)","geen beleid","No non-concessional borrowing limit","ja","350.000.000","450.000.000","","","","","","","0","450.000.000"
"Bolivia (7)","uitzondering","","ja","225.000.000","300.000.000","0","436.466","749","0","0","0","437.215","299.563.534"
"Bosniº - Herzegowina (6)","beperkt","","nee","525.000.000","700.000.000","","","","","","","0","700.000.000"
"Botswana (3)","open","","nee","","","968.598","0","100.623","0","0","0","1.069.221",""
"Braziliº (4)","beperkt","","nee","3.000.000.000","4.000.000.000","613.647.567","18.208.352","5.032.409","4.465","0","0","636.892.793","3.368.144.081"
"Brunei (2)","open","","nee","2.250.000.000","3.000.000.000","0","0","0","0","0","","0","3.000.000.000"
"Bulgarije (3)","beperkt","","nee","","","0","0","1.518","8.603","0","0","10.121",""
"Burkina Faso (7)","uitzondering","Non-zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","0","146.524","370.164","0","0","516.688","300.000.000"
"Burundi (7)","uitzondering","Zero non-concessional borrowing limit","ja","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Cambodja (6)","geen beleid","No conditionality","ja","525.000.000","700.000.000","","","","","","","0","700.000.000"
"Canada (0)","open","","nee","","","62.656.239","0","290.557","0","0","0","62.946.796",""
"Centraal Afrikaanse Republiek (7)","uitzondering","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Chili (0)","open","","nee","","","","","","","","","0",""
"China (2)","beperkt","","nee","","","138.223.622","0","4.032.972","0","0","0","142.256.594",""
"1_60_stock","","","","","","' Atradius 2015","","","","","","","Page 1 of 8"
