"December
2023","","","","","","","","","","","","",""
"","","","","signalerings-","landen-","","dekkings-","","","dekkings-","","",""
"","","","","plafond","plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse","beleid","IMF/WB","DGGF","","","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Georgiº (6)","beperkt","","ja","525.000.000","700.000.000","0","0","0","64.863","0","0","64.863","700.000.000"
"Ghana (7)","beperkt","No non-concessional borrowing limit","ja","225.000.000","300.000.000","207.705.669","2.005.262","6.925.500","1.269.919","0","0","217.906.350","90.289.069"
"Gibraltar (0)","geen beleid","","nee","","","","","","","","","0",""
"Grenada (6)","geen beleid","Non-zero non-concessional borrowing limit","nee","85.000.000","115.000.000","","","","","","","0","115.000.000"
"Griekenland (0)","beperkt","","nee","3.000.000.000","4.000.000.000","32.810.781","0","0","0","0","0","32.810.781","3.967.189.219"
"Groenland (0)","geen beleid","","nee","1.500.000.000","2.000.000.000","","","","","","","0","2.000.000.000"
"Guadeloupe (0)","open","","nee","","","","","","","","","0",""
"Guam (0)","geen beleid","","nee","","","","","","","","","0",""
"Guatemala (4)","open","","ja","2.250.000.000","3.000.000.000","","","","","","","0","3.000.000.000"
"Guernsey (0)","open","","nee","375.000.000","500.000.000","","","","","","","0","500.000.000"
"Guinee (7)","beperkt","Non-zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","8.885.724","0","0","0","28.687.500","8.885.724","291.114.276"
"Guinee - Bissau (7)","uitzondering","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Guyana (5)","beperkt","No non-concessional borrowing limit","nee","1.125.000.000","1.500.000.000","0","0","2.381","238.649","0","0","241.030","1.500.000.000"
"Haiti (7)","uitzondering","No conditionality","ja","150.000.000","200.000.000","0","0","0","0","0","0","0","200.000.000"
"Honduras (5)","beperkt","No non-concessional borrowing limit","nee","1.125.000.000","1.500.000.000","7.791.040","0","87.568","281.582","0","0","8.160.190","1.492.208.960"
"Hong Kong (2)","open","","nee","","","1.032.987","0","201.529","0","0","0","1.234.516",""
"Hongarije (0)","open","","nee","","","0","0","0","0","0","0","0",""
"Ierland (0)","open","","nee","","","52.984.815","0","0","0","0","0","52.984.815",""
"IJsland (0)","beperkt","","nee","","","","","","","","","0",""
"India (3)","beperkt","","ja","","","181.738.635","75.554.700","13.842.352","0","0","126.562.075","271.135.687",""
"Indonesiº (3)","open","","ja","","","265.791.442","913.638.810","6.671.528","23.594.798","0","0","1.209.696.578",""
"Irak (7)","uitzondering","","ja","300.000.000","400.000.000","0","0","3.692.736","5.168.981","0","0","8.861.717","400.000.000"
"Iran (7)","uitzondering","","nee","300.000.000","400.000.000","33.435.000","0","341.926","614.519","0","0","34.391.445","366.565.000"
"Israºl (0)","open","","nee","","","0","5.362.981","0","0","0","0","5.362.981",""
"Italiº (0)","open","","nee","","","118.793.350","0","0","0","0","0","118.793.350",""
"Ivoorkust (5)","beperkt","No non-concessional borrowing limit","ja","1.125.000.000","1.500.000.000","383.492.651","301.497.517","17.294.753","2.485.115","0","4.904.803","704.770.036","815.009.832"
"Jamaica (6)","beperkt","","nee","350.000.000","450.000.000","0","0","0","0","0","0","0","450.000.000"
"Japan (0)","open","","nee","","","293.450.023","0","0","0","0","0","293.450.023",""
"Jemen Republiek (7)","uitzondering","No non-concessional borrowing limit","ja","150.000.000","200.000.000","0","0","289","965.287","0","0","965.576","200.000.000"
"Jersey (0)","open","","nee","375.000.000","500.000.000","","","","","","","0","500.000.000"
"Jordaniº (5)","beperkt","","ja","1.125.000.000","1.500.000.000","1.490.866","0","0","0","0","0","1.490.866","1.498.509.134"
"Kaaiman Eilanden (0)","geen beleid","","nee","","","","","","","","","0",""
"Kaap Verdische Eilanden (6)","geen beleid","Zero non-concessional borrowing limit","ja","85.000.000","115.000.000","0","0","0","0","0","0","0","115.000.000"
"Kameroen (6)","beperkt","Non-zero non-concessional borrowing limit","nee","525.000.000","700.000.000","6.122.575","2.774.906","0","1.786.147","0","4.364.662","10.683.628","691.102.519"
"1_60_stock","","","","","","' Atradius 2015","","","","","","Page 3 of 8",""
