"December
2023","","","","","","","","","","","","",""
"","","","","signalerings-","landen-","","dekkings-","","","dekkings-","","",""
"","","","","plafond","plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse","beleid","IMF/WB","DGGF","","","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Kazachstan (5)","beperkt","","nee","1.500.000.000","2.000.000.000","3.281.408","0","0","0","0","0","3.281.408","1.996.718.592"
"Kenia (7)","beperkt","Non-zero non-concessional borrowing limit","ja","225.000.000","300.000.000","43.471.068","0","0","0","0","0","43.471.068","256.528.932"
"Kiribati (7)","geen beleid","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Koeweit (2)","open","","nee","","","210.543.836","0","0","0","0","0","210.543.836",""
"Kroatiº (0)","open","","nee","","","0","0","0","533.679","0","0","533.679",""
"Kyrgyzstan (7)","uitzondering","No non-concessional borrowing limit","nee","150.000.000","200.000.000","","","","","","","0","200.000.000"
"Laos (7)","uitzondering","Non-zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","0","0","0","0","0","0","300.000.000"
"Lesotho (6)","geen beleid","No non-concessional borrowing limit","nee","350.000.000","450.000.000","","","","","","","0","450.000.000"
"Letland (0)","open","","nee","","","9.833.129","0","0","0","0","0","9.833.129",""
"Libanon (7)","uitzondering","","ja","225.000.000","300.000.000","","","","","","","0","300.000.000"
"Liberia (7)","uitzondering","Zero non-concessional borrowing limit","ja","150.000.000","200.000.000","0","0","14.689","147.036","0","0","161.725","200.000.000"
"Libiº (7)","uitzondering","","ja","225.000.000","300.000.000","","","","","","","0","300.000.000"
"Liechtenstein (0)","geen beleid","","nee","375.000.000","500.000.000","0","12.996.714","3.338.564","0","0","0","16.335.278","487.003.286"
"Litouwen (0)","open","","nee","","","21.060.003","0","0","0","0","0","21.060.003",""
"Luxemburg (0)","open","","nee","","","0","0","0","0","0","17.426.856","0",""
"Maagdeneilanden (Brits) (0)","geen beleid","","nee","","","0","0","0","0","0","0","0",""
"Maagdeneilanden (V.S.) (0)","geen beleid","","nee","","","","","","","","","0",""
"Macao (2)","open","","nee","","","","","","","","","0",""
"Madagascar (7)","beperkt","Non-zero non-concessional borrowing limit","ja","150.000.000","200.000.000","","","","","","","0","200.000.000"
"Malawi (7)","uitzondering","Zero non-concessional borrowing limit","ja","150.000.000","200.000.000","","","","","","","0","200.000.000"
"Malediven (7)","uitzondering","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","76.896.145","0","0","0","0","0","76.896.145","-26.896.145"
"Maleisiº (2)","open","","nee","","","13.788.540","0","0","0","0","0","13.788.540",""
"Mali (7)","uitzondering","Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","0","0","71.824","0","0","71.824","300.000.000"
"Malta (0)","open","","nee","","","","","","","","","0",""
"Man (Eiland) (0)","open","","nee","375.000.000","500.000.000","","","","","","","0","500.000.000"
"Marokko (3)","beperkt","","ja","3.000.000.000","4.000.000.000","44.056.543","2.100.114","0","91.677","0","0","46.248.334","3.953.843.343"
"Marshall Eilanden (7)","geen beleid","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Martinique (0)","open","","nee","","","","","","","","","0",""
"Mauretaniº (7)","geen beleid","Zero non-concessional borrowing limit","nee","150.000.000","200.000.000","0","0","2.111.043","0","0","0","2.111.043","200.000.000"
"Mauritius (3)","open","","nee","","","0","0","12.082.290","0","0","0","12.082.290",""
"Mayotte (0)","open","","nee","","","","","","","","","0",""
"Mexico (3)","beperkt","","nee","","","203.263.920","1.084.772","146.872.564","72.407","0","0","351.293.663",""
"Micronesiº (7)","geen beleid","Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Moldaviº (7)","uitzondering","No non-concessional borrowing limit","ja","150.000.000","200.000.000","","","","","","","0","200.000.000"
"1_60_stock","","","","","","' Atradius 2015","","","","","","Page 4 of 8",""
