"December
2023","","","","","","","","",""
"","","","signalerings-","landen-","dekkings-","","","dekkings-",""
"","","","plafond","plafond","toezeggingen","","","adviezen",""
"land en premieklasse","beleid
IMF/WB","DGGF","","","polissen","schade","CvP","aanvragen","totaal
ruimte"
"Svalbard & Jan Mayen (0)","open","nee","","","","","","","0"
"Syriº (7)","uitzondering
No non-concessional borrowing limit","nee","225.000.000","300.000.000","","","","","0
300.000.000"
"Tadzjikistan (7)","uitzondering
Zero non-concessional borrowing limit","nee","150.000.000","200.000.000","","","","","0
200.000.000"
"Taiwan (2)","open","nee","","1.183.849.611","0","0","0","0
7.493.554","1.183.849.611"
"Tanzania (6)","beperkt","Non-zero non-concessional borrowing limit
ja","525.000.000","700.000.000","110.001.879
18.072.697","1.966.914","1.109.290","0
53.844.332","131.150.780
571.925.424"
"Thailand (3)","open","nee","","","","","","","0"
"Toerkmenistan (7)","beperkt","nee","225.000.000","300.000.000","40.148.717
681.382.982","0","0","458.725.896
0","721.531.699
-421.531.699"
"Togo (6)","beperkt
No non-concessional borrowing limit","ja","350.000.000","450.000.000","0
0","0","1.160.611","0
0","1.160.611
450.000.000"
"Tokelau (0)","open","nee","","","","","","","0"
"Tonga (7)","uitzondering
Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"Trinidad & Tobago (3)","beperkt","nee","2.250.000.000","3.000.000.000","4.257.088
0","0","0","0
0","4.257.088
2.995.742.912"
"Tsjaad (7)","uitzondering
Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","57.783.705
0","0","0","0
0","57.783.705
242.216.295"
"Tsjechiº (0)","open","nee","","","","","","","0"
"Tunesiº (7)","beperkt","ja","225.000.000","300.000.000","22.078.881
0","0","0","0
0","22.078.881
277.921.119"
"Turkije (5)","beperkt","nee","1.500.000.000","2.000.000.000","8.954.310
92.343.968","1.877.855","0","0
175.000.000","103.176.133
1.898.701.722"
"Turks & Caicos Eilanden (0)","geen beleid","nee","","","","","","","0"
"Tuvalu (7)","geen beleid
Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"Uruguay (3)","open","nee","","","440.867
2.087.886","0","0","0
0","2.528.753"
"Vanuaatu (7)","geen beleid
Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"Vaticaanstad (0)","geen beleid","nee","375.000.000","500.000.000","","","","","0
500.000.000"
"Venezuela (7)","uitzondering","nee","225.000.000","300.000.000","","","","","0
300.000.000"
"Verenigd Koninkrijk (0)","open","nee","","","30.230.256
0","0","0","0
78.826.184","30.230.256"
"Verenigde Arabische Emiraten (2)","beperkt","nee","","","184.916.040
278.764.624","8.888.348","0","0
109.417.718","472.569.012"
"Verenigde Staten van Amerika (0)","open","nee","","","286.447.501
6.019.136","0","0","0
7.174.247","292.466.637"
"Vietnam (4)","beperkt","ja","3.000.000.000","4.000.000.000","122.767.399
8.890.326","0","0","0
1","131.657.725
3.868.342.275"
"Wallis & Futuna Eilanden (0)","geen beleid","nee","","","","","","","0"
"Westelijke Sahara (7)","uitzondering","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"Wit-Rusland (7)","uitzondering","nee","300.000.000","400.000.000","","","","","0
400.000.000"
"Zambia (7)","uitzondering
Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","64.556.410
0","21.296.349","0","0
0","85.852.759
235.443.590"
"Zimbabwe (7)","uitzondering
No non-concessional borrowing limit","ja","225.000.000","300.000.000","0
0","15.332.210","0","0
0","15.332.210
300.000.000"
"Zuid Afrika (4)","beperkt","ja","3.000.000.000","4.000.000.000","26.577.523
1.408.910","0","0","0
11.690.604","27.986.433
3.972.013.567"
"Zuid Korea (0)","open","nee","","","896.185
0","0","0","0
0","896.185"
"Zuid-Soedan (7)","uitzondering
Zero non-concessional borrowing limit","ja","150.000.000","200.000.000","","","","","0
200.000.000"
"Zweden (0)","open","nee","","","28.415.511
0","0","0","0
0","28.415.511"
"1_60_stock","","","","","' Atradius 2015","","","","Page 7 of 8"
