"December
2023","","","","","","","","",""
"","signalerings-
landen-","","dekkings-","","","dekkings-","","",""
"","plafond
plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse
beleid
IMF/WB","DGGF","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Zwitserland (0)
open","nee","0","0","0","0","0","0","0",""
"Totaal risico","","12.178.853.475","4.869.383.533","554.409.576","287.481.025","661.171.276","2.963.629.243","17.890.127.609","80.672.051.146"
"Toelichting","","","","","","","","",""
"IMF/WB: Voorwaarden voor overheidskopers in ontwikkelingslanden gebaseerd op uitgangspunten ten aanzien van schuldhoudbaarheid","","","","","","","","",""
"DGGF:
Land open voor dekking onder Dutch Good Growth Fund (DGGF)","","","","","","","","",""
"DA: BIj combinatie van financierings- en exporteursdekking kan bij dekkingsadviezen dubbeltelling voorkomen.","","","","","","","","",""
"Totaal: som vanm polissen, dekkingstoezeggingen, schade en CvP, exclusief","investeringsrisico, koersrisico, zelfstandige garantiedekking en inschrijvingsgarantie","","","","","","","",""
"Verklaring kleurcodering","","","","","","","","",""
"groen
ruimte onder het signaleringsplafond","","","","","","","","",""
"oranje
overschrijding van het signaleringsplafond, maar ruimte onder het","landenplafond","","","","","","","",""
"rood
overschrijding van het
landenplafond","","","","","","","","",""
