"","","centrale","monetaire","lagere","staats-","staats-","goede","standaard","goede","standaard","onbekend","totaal"
"land en premieklasse","produkt","overheid","authoriteit","overheid","bank","deelneming","bank","bank","particulier","particulier","",""
"Angola (6)","Dekkingsadvies","","202.445.380","","","","","","","","","202.445.380"
"","Polis","36.752.231","5.848.876","","","","","","","","","42.601.107"
"Argentinië (7)","Polis","","","","","","","","","14.780.482","","14.780.482"
"Australië (0)","Polis","","","","","","","","","827.200","","827.200"
"Bahama's (4)","Dekkingstoezeggin","26.487.680","","","","","","","","","","26.487.680"
"","Polis","","15.136.370","","","","","","","","","15.136.370"
"Bahrein (6)","Polis","","","","","","","","","1.010.406","","1.010.406"
"Bangladesh (5)","Dekkingstoezeggin","","","","","","","22.132.474","","8.700.410","","30.832.884"
"","Polis","","","","","","","22.984.096","","20.842.976","","43.827.072"
"België (0)","Dekkingstoezeggin","","","","","","","","","228.494.710","","228.494.710"
"","Polis","","","","","","","","","246.641.304","","246.641.304"
"Belize (7)","Dekkingstoezeggin","12.586.532","","","","","","","","","","12.586.532"
"Benin (6)","Dekkingstoezeggin","","48.611.984","","","","","","","","","48.611.984"
"Bolivia (7)","Dekkingstoezeggin","","","","","","","","","436.466","","436.466"
"Botswana (3)","Polis","","","","","","","","","968.598","","968.598"
"Brazilië (4)","Dekkingstoezeggin","","","","","","","","","18.208.352","","18.208.352"
"","Polis","0","","","","","","922.133","","612.725.434","","613.647.567"
"Bulgarije (3)","Polis","","","","","","","","","86.160","","86.160"
"Canada (0)","Polis","","","","","","","","","62.656.239","","62.656.239"
"Chili (0)","Polis","","","","","","","","","1.140.000","","1.140.000"
"China (2)","Polis","","","","67.519.873","140.256","","","3.241.954","80.296.234","","151.198.317"
"Colombia (4)","Dekkingstoezeggin","","","","","","","","","4.353.390","","4.353.390"
"","Polis","","","","","113.950.278","","","","8.362.763","","122.313.041"
"Costa Rica (4)","Polis","","","","","","","","","1.777.197","","1.777.197"
"Cuba (7)","Polis","","","","18.169.907","","","","","","","18.169.907"
"Cyprus (0)","Polis","","","","","","","","","29.687.810","","29.687.810"
"Denemarken (0)","Polis","","","","","601.118","","","","8.992.330","","9.593.448"
"Djibouti (7)","Polis","","","","","108.341.417","","","","11.761.098","","120.102.515"
"Duitsland (0)","Dekkingstoezeggin","","","","","","","","","15.612.643","","15.612.643"
"","Polis","","","","","","","","","23.905.815","","23.905.815"
"Ecuador (6)","Dekkingstoezeggin","","","","","","","","","3.749.363","","3.749.363"
"","Polis","","","","","","","","","93.674.564","","93.674.564"
"Egypte (6)","Dekkingstoezeggin","","","127.233.542","","","","","","8.448.364","","135.681.906"
"","Polis","","","67.936.276","","0","","","","31.694.206","","99.630.482"
"2_40_stock_d","","","","","","© Atradius 2009","","","","","Page 1 of 5",""
