"","","centrale
monetaire","lagere","staats-
staats-","goede","standaard","goede","standaard","onbekend
totaal"
"land en premieklasse","produkt","overheid
authoriteit","overheid","bank
deelneming","bank","bank","particulier","particulier",""
"Qatar (3)","Polis","","","","","","","3.206.250","3.206.250"
"Reunion (0)","Polis","","","3.135.120","","","","","3.135.120"
"Roemenië (3)","Polis","","1.978.712","","","","","1.251.818","3.230.530"
"Rusland (7)","Polis","","","","","0","10.281.557","14.219.772","24.501.329"
"Rwanda (6)","Dekkingstoezeggin","","","","","","","545.529","545.529"
"","Polis","","","","","","","273.722","273.722"
"Saoedi Arabië (2)","Dekkingstoezeggin","","","122.775.694","","","","51.574.511","174.350.205"
"","Polis","","","","","","20.604.875","133.840.494","154.445.369"
"Senegal (5)","Dekkingstoezeggin","57.207.024","","","","","","","57.207.024"
"","Polis","0","","","","","","","0"
"Singapore (0)","Polis","","","","","","","10.217.473","10.217.473"
"Spanje (0)","Polis","","","","","","","16.681.162","16.681.162"
"Sri Lanka (7)","Polis","135.090.228
99.611.844","","","","","","","234.702.073"
"St. Vincent & Grenadines (7)","Polis","2.742.441","","","","","","","2.742.441"
"Suriname (7)","Polis","5.027.562","","0","","","","","5.027.562"
"Taiwan (2)","Polis","","","","","","","1.183.849.611","1.183.849.611"
"Tanzania (6)","Dekkingstoezeggin","","","","","","","18.072.697","18.072.697"
"","Polis","4.852.753
103.326.573","","","","","","1.822.553","110.001.879"
"Toerkmenistan (7)","Dekkingsadvies","","","","","","","458.725.896","458.725.896"
"","Dekkingstoezeggin","681.382.982","","","","","","","681.382.982"
"","Polis","40.148.717","","","","","","","40.148.717"
"Trinidad & Tobago (3)","Polis","","","","","","","4.257.088","4.257.088"
"Tsjaad (7)","Polis","","","","","","","57.783.705","57.783.705"
"Tunesië (7)","Polis","20.909.550","","","","","","1.169.331","22.078.881"
"Turkije (5)","Dekkingstoezeggin","","960.000","","","","","92.343.968","93.303.968"
"","Polis","","","","","","","8.954.310","8.954.310"
"Uruguay (3)","Dekkingstoezeggin","","","","","","","2.087.886","2.087.886"
"","Polis","","","","","","","440.867","440.867"
"Verenigd Koninkrijk (0)","Polis","","","","","","","30.230.256","30.230.256"
"Verenigde Arabische Emiraten (2)","Dekkingstoezeggin","","","","","","","278.764.624","278.764.624"
"","Polis","","33.950.195","","","","","185.075.881","219.026.076"
"Verenigde Staten van Amerika (0)","Dekkingstoezeggin","","","","","","","6.823.786","6.823.786"
"","Polis","","","","","","1.224.180","286.807.953","288.032.133"
"Vietnam (4)","Dekkingstoezeggin","","","","","","","9.330.644","9.330.644"
