"RHI","","","","","","","","",""
"Premieklasse:
2","","","","","","","","",""
"Polis","13.788.540","","","","","","","","13.788.540"
"Premieklasse:
6","","","","","","","","",""
"Dekkingstoezegging","1.137.864","","","","","","","","1.137.864"
"Polis","1.366.000","","","","","","","","1.366.000"
"Premieklasse:
7","","","","","","","","",""
"Dekkingstoezegging","782.118","","","","","","","","782.118"
"Polis","1.169.331","","","","","","","","1.169.331"
"Subtotaal","18.243.853","","","","","","","","18.243.853"
"Totaal polissen
948.189.819
67.634.988","10.566.684.310
1.960.000
16.323.871","69.446.028","0","291.358.985","0","414.383.233","106.265","508.508.190","12.884.595.689"
"Totaal dekkingstoezeggingen
379.900.741
127.233.542","4.293.918.734
0
1.919.982","0","0","0","0","160.123.120","0","66.410.534","5.029.506.653"
"Totaal risico
1.328.090.560
194.868.530","14.860.603.044
1.960.000
18.243.853","69.446.028","0","291.358.985","0","574.506.353","106.265","508.508.190","17.914.102.343"
"Totaal dekkingsadviezen
458.725.896
0","202.445.380
0
0","0","0","0","0","0","0","0","661.171.276"
