"December
2023","","","","","","","",""
"land","Landenklasse","","signaleringsplafond","landenplafond","obligo ruimte","bruto reeël obligo","herverzekerd
benutting","% van totaal"
"Filippijnen","","3","","","","2.892.249.568","2.892.249.568","17,0%"
"Nederland","","0","","","","2.291.089.442","2.291.089.442","13,4%"
"Taiwan","","2","","","","1.183.849.611","1.183.849.611","6,9%"
"Indonesië","","3","","","","1.179.430.251","1.179.430.251","6,9%"
"Mozambique","","7","225.000.000","300.000.000","-702.465.353","1.002.465.353","1.002.465.353","5,9%"
"Toerkmenistan","","7","225.000.000","300.000.000","-421.531.699","721.531.699","721.531.699","4,2%"
"Ivoorkust","","5","1.125.000.000","1.500.000.000","815.009.832","684.990.168","684.990.168","4,0%"
"Brazilië","","4","3.000.000.000","4.000.000.000","3.368.144.081","753.225.672","121.369.753
631.855.919","3,7%"
"Oman","","5","1.500.000.000","2.000.000.000","1.470.969.741","529.030.259","529.030.259","3,1%"
"België","","0","","","","475.136.014","475.136.014","2,8%"
"Verenigde Arabische Emiraten","","2","","","","463.680.664","463.680.664","2,7%"
"Saoedi Arabië","","2","","","","321.018.766","321.018.766","1,9%"
"Noorwegen","","0","","","","305.518.172","305.518.172","1,8%"
"Japan","","0","","","","293.450.023","293.450.023","1,7%"
"Verenigde Staten van Amerika","","0","","","","292.466.637","292.466.637","1,7%"
"India","","3","","","","257.293.335","257.293.335","1,5%"
"Sri Lanka","","7","225.000.000","300.000.000","65.297.927","300.723.823","66.021.750
234.702.073","1,4%"
"Egypte","","6","675.000.000","900.000.000","673.494.012","226.505.988","226.505.988","1,3%"
"Koeweit","","2","","","","210.543.836","210.543.836","1,2%"
"Ghana","","7","225.000.000","300.000.000","90.289.069","209.710.931","209.710.931","1,2%"
"Mexico","","3","","","","213.746.450","9.397.758
204.348.692","1,2%"
"Papua Nieuw Guinea","","6","525.000.000","700.000.000","558.935.073","141.064.927","141.064.927","0,8%"
"China","","2","","","","138.223.622","138.223.622","0,8%"
"Vietnam","","4","3.000.000.000","4.000.000.000","3.868.342.275","131.657.725","131.657.725","0,8%"
"Tanzania","","6","525.000.000","700.000.000","571.925.424","139.668.876","11.594.300
128.074.576","0,8%"
"Colombia","","4","3.000.000.000","4.000.000.000","3.873.333.569","126.666.431","126.666.431","0,7%"
"Djibouti","","7","35.000.000","50.000.000","-70.102.515","120.102.515","120.102.515","0,7%"
"Italië","","0","","","","118.793.350","118.793.350","0,7%"
"Turkije","","5","1.500.000.000","2.000.000.000","1.898.701.722","129.853.738","28.555.460
101.298.278","0,6%"
"Ecuador","","6","525.000.000","700.000.000","602.576.072","97.423.928","97.423.928","0,6%"
"Totaal top 30","","","","","","","236.939.021
15.714.172.750","92,2%"
"Totaal benutting","","","","","","","17.048.237.008",""
