"December
2023","","","",""
"debiteur nummer","debiteur naam","land debiteur","obligo","% van totaal"
"1100762","SAN MIGUEL CORPORATION","Filippijnen","2.839.382.935","15,8%"
"4786587","MINISTERIE VAN FINANCIEN","Indonesië","1.135.805.961","6,3%"
"23379474","MOZ LNG1 FINANCING COMPANY","VAE (Abu Dhabi)","1.002.465.353","5,6%"
"23919931","CEF PROJECTS BV","Nederland","851.282.334","4,8%"
"23029067","STATE COMMITTEE FOR WATER MANAGEMENT OF TURKMEKISTAN","Toerkmenistan","681.382.982","3,8%"
"23579476","MERCURY TAIWAN HOLDING LIMITED","Taiwan","569.666.887","3,2%"
"23895899","PROW CAPITAL B.V.","Nederland","558.386.748","3,1%"
"21829412","ORPIC PLASTICS LLC","Oman","524.510.096","2,9%"
"24115331","CMB.TECH BELGIUM NV","België","454.748.527","2,5%"
"23249736","CHANGFANG WIND POWER CO LTD","Taiwan","431.190.057","2,4%"
"23468420","THE REPUBLIC OF COTE D'ÍVOIRE REPRESENTED BY THE MINISTER OF","Ivoorkust","374.217.467","2,1%"
"24045282","TAMANDARE OWNING B.V.","Nederland","319.995.725","1,8%"
"427120","AUTORIDAD DEL CANAL DE PANAMA ""ACP""","Panama","300.438.001","1,7%"
"19510675","ICHTHYS LNG PTY LTD","Australië","293.450.023","1,6%"
"21591344","BETA LULA CENTRAL SARL","Luxemburg","292.296.754","1,6%"
"22434857","MCDERMOTT AMAZON CHARTERING INC GEREGISTREERD IN PANAMA 155643161","Verenigde Staten van Amerika","259.269.107","1,4%"
"22783149","MINISTÈRE DE L'HYDRAULIQUE","Ivoorkust","225.558.847","1,3%"
"24252239","HAVFRAM WIND AS  AVD SANDNES","Noorwegen","215.687.106","1,2%"
"2654143","KUWAIT NATIONAL PETROLEUM CO. KSC","Koeweit","208.730.352","1,2%"
"23873098","GENERAL AUTHORITY FOR SUEZ CANAL ECONOMIC ZONE","Egypte","192.889.817","1,1%"
"9828698","DAMEN SCHELDE NAVAL SHIPBUILDING B.V.","Nederland","166.510.546","0,9%"
"23005586","YUNNENG WIND POWER CO LTD","Taiwan","160.491.625","0,9%"
"22300163","PROJECT SPV","Argentinië","156.516.648","0,9%"
"20293553","MINISTRY OF FINANCE","Papua Nieuw Guinea","141.064.927","0,8%"
"21730996","GREENWORLD SHIPPING","Marshall Eilanden","140.217.363","0,8%"
"21968299","NAVIERA NARANJA S.A. DE C.V.","Mexico","138.681.067","0,8%"
"304915","ALMABANI GENERAL CONTRACTORS COMPANY LTD","Saoedi Arabië","122.775.694","0,7%"
"22057714","SAIPEM FINANCE INTERNATIONAL B.V.","Nederland","118.793.350","0,7%"
"9801058","EMPRESAS PUBLICAS DE MEDELLIN E.S.P.","Colombia","113.950.278","0,6%"
"23307814","DJIBOUTI SHIP REPAIR YARD FZE","Djibouti","108.341.417","0,6%"
"Totaal top 30","","","13.098.697.992","73,1%"
"Totaal benutting","","","17.914.102.343",""
