"","","","bedrag"
"","","","in euro"
"","Totaal","land","0"
"Senegal (premieklasse: 5)","","",""
"","","Totaal herverzekeraar","49.681.872"
"ZURICH INSURANCE COMPANY LTD","","",""
"","Totaal","land","10.421.447"
"Bahama's (premieklasse: 4)","","",""
"","Totaal","land","0"
"Djibouti (premieklasse: 7)","","",""
"","Totaal","land","21.229.693"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","31.651.140"
"ZURICH INSURANCE PUBLIC LIMITED COMPANY","","",""
"","Totaal","land","14.117.795"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","14.117.795"
