"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035 e.v.","totaal"
"DGGF","","","","","","","","","","","","",""
"Burkina Faso","1.599.284","1.490.858","704.769","0","0","0","0","0","0","0","0","0","3.794.910"
"Colombia","499.480","270.610","0","0","0","0","0","0","0","0","0","0","770.090"
"Congo","2.603.521","1.623.738","1.249.826","602.403","0","0","0","0","0","0","0","0","6.079.488"
"Djibouti","646.622","717.400","642.380","609.584","306.191","102.494","0","0","0","0","0","0","3.024.672"
"Egypte","136.000","136.000","68.000","0","0","0","0","0","0","0","0","0","340.000"
"Ghana","2.307.709","2.117.763","1.661.349","1.050.521","254.947","0","0","0","0","0","0","0","7.392.289"
"Guinee","263.149","4.147.672","4.014.396","3.961.165","3.907.971","3.854.703","3.801.472","3.748.241","3.695.047","3.641.779","3.588.548","0","38.624.143"
"Hong Kong","425.000","425.000","425.000","212.500","0","0","0","0","0","0","0","0","1.487.500"
"India","1.514.887","1.393.363","1.323.323","1.253.284","600.436","0","0","0","0","0","0","0","6.085.293"
"Indonesië","226.029","48.733","0","0","0","0","0","0","0","0","0","0","274.763"
"Irak","607.086","290.618","0","0","0","0","0","0","0","0","0","0","897.705"
"Ivoorkust","124.394","120.867","59.097","0","0","0","0","0","0","0","0","0","304.358"
"Kaap Verdische Eilanden","175.879","0","0","0","0","0","0","0","0","0","0","0","175.879"
"Kenia","365.289","245.628","245.628","59.926","0","0","0","0","0","0","0","0","916.471"
"Laos","0","19.664.430","0","0","0","0","0","0","0","0","0","0","19.664.430"
"Liberia","700.195","477.017","67.145","0","0","0","0","0","0","0","0","0","1.244.356"
"Mali","56.666","56.666","0","0","0","0","0","0","0","0","0","0","113.332"
"Marokko","44.780","44.780","44.780","44.780","0","0","0","0","0","0","0","0","179.120"
"Mongolië","361.252","361.252","361.252","153.532","0","0","0","0","0","0","0","0","1.237.288"
"Mozambique","327.888","242.808","132.755","0","0","0","0","0","0","0","0","0","703.451"
"Nederland","242.973","121.487","0","0","0","0","0","0","0","0","0","0","364.460"
"Niger","58.188","43.641","14.547","0","0","0","0","0","0","0","0","0","116.376"
"Nigeria","838.370","509.923","357.947","209.262","209.262","209.262","209.262","145.714","0","0","0","0","2.689.004"
"Oeganda","362.524","353.878","233.186","0","0","0","0","0","0","0","0","0","949.589"
"Senegal","36.747","0","0","0","0","0","0","0","0","0","0","0","36.747"
"Soedan (Noord)","579.881","563.964","548.100","239.510","0","0","0","0","0","0","0","0","1.931.454"
"Somali Republiek","287.634","287.634","287.634","0","0","0","0","0","0","0","0","0","862.902"
"Zambia","202.241","198.609","19.360","0","0","0","0","0","0","0","0","0","420.210"
"Zimbabwe","891.994","723.471","259.236","46.147","44.530","42.896","0","0","0","0","0","0","2.008.273"
