"","Overzicht mutaties per leningtype per land","","","","","","","","",""
"December","2023","","","","","","","","",""
"","","","","Kapitaalmarktleningen","","","","","Begrotingsleningen",""
"","Leningnr.","ontvangen","ontvangen","ontvangen","kwijtschelding","kwijtschelding","kwijtschelding","ontvangen","ontvangen
ontvangen
kwijtschelding","kwijtschelding
kwijtschelding"
"","","hoofdsom","rente","boeterente","hoofdsom","rente","boeterente","hoofdsom","rente
boeterente","boeterente
hoofdsom
rente"
"MINISTERIE VAN BUITENLANDSE ZAKEN","","","","","","","","","",""
"Angola","257024","70.772","4.572","","","","","","",""
"","257036","","","","","","","43.947","1.785",""
"","257037","","","","","","","13.978","568",""
"Subtotaal","","70.772","4.572","","","","","57.924","2.352",""
"MINISTERIE VAN BUITENLANDSE ZAKEN","","","","","","","","","",""
"Jamaica","257118","42.065","","","","","","","",""
"Subtotaal","","42.065","","","","","","","",""
"MINISTERIE VAN BUITENLANDSE ZAKEN","","","","","","","","","",""
"Pakistan","257145","1.541.766","189.288","","","","","","",""
"","257146","","","","","","","995.674","122.242",""
"Subtotaal","","1.541.766","189.288","","","","","995.674","122.242",""
"","Totaal","1.654.603","193.861","","","","","1.053.598","124.595",""
"3_82_flow","","","","","","","© Atradius 2010","","","Pagina 1 van 1"
