"2024","","","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december","totaal"
"Kapitaalmarktleningen","","","","","","","","","","","","","","",""
"AGO","CINT","EUR","0","0","0","0","0","3.588","0","0","0","0","0","3.592","7.180"
"","PRIN","EUR","0","0","0","0","0","70.772","0","265.461","0","0","0","70.878","407.112"
"","RINT","EUR","6.191","0","0","0","0","796","5.957","0","0","0","0","610","13.554"
"CHN","PINT","EUR","18.213","0","0","0","0","0","0","0","0","0","0","0","18.213"
"EGY","PRIN","EUR","0","0","0","0","0","2.909.882","0","0","0","0","0","2.982.244","5.892.126"
"","RINT","EUR","0","0","0","0","0","381.317","0","0","0","0","0","312.162","693.480"
"JAM","PRIN","EUR","0","12.207","0","0","0","0","0","0","0","0","42.065","0","54.272"
"","RINT","EUR","1.270","0","0","0","0","0","1.113","0","0","0","0","0","2.383"
"PAK","CINT","EUR","0","0","0","0","0","179.804","0","0","0","0","0","180.004","359.808"
"","PRIN","EUR","0","0","0","0","1.005.587","536.179","0","0","0","0","1.005.587","536.983","3.084.336"
"","RINT","EUR","413.944","0","0","0","0","7.670","396.931","0","0","0","0","5.878","824.424"
"PER","PRIN","EUR","0","0","0","0","0","0","52.049","204.201","0","0","0","0","256.250"
"","RINT","EUR","3.309","0","0","0","0","0","3.145","0","0","0","0","0","6.454"
"TTO","PINT","EUR","17.241","0","0","0","0","0","0","0","0","0","0","0","17.241"
"ZWE","PINT","EUR","404.395","0","0","0","0","0","0","0","0","0","0","0","404.395"
