"Azië","","","","","","","","","","","",""
"","Afghanistan (premieklasse: 7)","","","","","","","","","","",""
"","943309","polis","30-mei-2023","ALPHA MILKPOWDERS HOLLAND B.V.","MIDO DAIRY PRODUCTION CO. LTD","Other","742.500","742.500","13.657","","",""
"","999751","polis","01-jun-2032","AGRIFOOD TRADE B.V.","AGRIFOOD TRADE BV AND BOZURG","Other","5.285.030","5.285.030","81.500","","0",""
"","","","","","","Totaal land","6.027.530","6.027.530","95.156","","0",""
"","Hong Kong (premieklasse: 2)","","","","","","","","","","",""
"","1153205","dekkingsadvies","31-dec-2023","EUROPEAN MACHINE TRADING B.V. (EM","NUTRISOURCE PTE. LTD.","Machinery and electronics","2.074.644","2.074.644","","","",""
"","1182521","polis","09-apr-2027","EUROPEAN MACHINE TRADING B.V. (EM","NUTRISOURCE PTE. LTD.","Machinery and electronics","1.781.000","1.781.000","82.638","1.387.134","",""
"","","","","","","Totaal land","3.855.644","3.855.644","82.638","1.387.134","",""
"","India (premieklasse: 3)","","","","","","","","","","",""
"","1127699","polis","28-mrt-2028","IHC BEAVERS B.V.","PELAGIA MARINE SERVICES PRIVAT","Transport","2.720.810","1.567.792","180.313","2.435.323","","949.346"
"","1130569","polis","03-mei-2024","KOKS INDUSTRIE B.V.","LLOYDS ENGINEERING CORPORATI","Machinery and electronics","342.107","49.761","11.013","287.979","","241.110"
"","1177285","polis","30-apr-2028","COLUBRIS WASTE SOLUTIONS B.V.","NEXUSNOVUS BANGALORE AIRPOR","Machinery and electronics","4.987.952","4.987.952","243.640","4.562.333","",""
"","","","","","","Totaal land","8.050.869","6.605.505","434.966","7.285.634","","1.190.457"
"","Indonesië (premieklasse: 3)","","","","","","","","","","",""
"","1083502","polis","06-nov-2024","MEAF MACHINES B.V.","PT. CAMILOPLAS JAYA MAKMUR","Machinery and electronics","571.105","188.987","27.303","485.436","","244.269"
"","1171542","polis","31-jan-2025","NX FILTRATION B.V.","PT BAYU SURYA BAKTI KONSTRUKS","Metals, Mining, Minerals","320.952","143.276","11.073","288.818","","138.890"
"","","","","","","Totaal land","892.057","332.263","38.376","774.254","","383.159"
"","Laos (premieklasse: 7)","","","","","","","","","","",""
"","1245443","polis","31-aug-2025","JANSON BRIDGING INTERNATIONAL B.V.","MINISTRY OF PUBLIC WORKS AND T","Construction, Real Estate","19.411.179","19.411.179","356.891","","",""
"","1245444","polis","28-feb-2035","INVEST INTERNATIONAL CAPITAL B.V.","MINISTRY OF FINANCE","Construction, Real Estate","","","2.255.224","","",""
"","","","","","","Totaal land","19.411.179","19.411.179","2.612.115","","",""
"","Mongolië (premieklasse: 7)","","","","","","","","","","",""
"","979729","polis","25-jun-2020","BAKERY INITIATIVES INTERNATIONAL B.","JUR UR BAKERY","Machinery and electronics","404.221","0","18.143","348.088","","349.883"
"","1204429","polis","05-dec-2027","BAKERY INITIATIVES INTERNATIONAL B.","JUR UR BAKERY","Machinery and electronics","1.747.384","1.212.542","104.357","1.341.917","","207.720"
"","1232903","dekkingsadvies","31-mei-2024","BAKERY INITIATIVES INTERNATIONAL B.","JUR UR BAKERY","Machinery and electronics","1.028.853","1.028.853","","","",""
"","","","","","","Totaal land","3.180.458","2.241.395","122.500","1.690.005","","557.603"
"","Vietnam (premieklasse: 4)","","","","","","","","","","",""
"","237503","polis","31-aug-2019","FERM INTERNATIONAL B.V.","VIETNAM ASIA TRADING SERVICES","Machinery and electronics","148.155","0","3.318","99.703","","92.781"
"","956545","polis","01-feb-2020","STICHTING SANQUIN BLOEDVOORZIENI","THACH PHAT TRADING SERVICE CO","Services (non financial)","292.036","0","12.535","229.699","","190.743"
"","","","","","","Totaal land","440.191","0","15.853","329.402","","283.524"
