"Landnaam","","","","","","","","","","","","",""
"","","Provisie en","Claims en","","","Provisie en","Claims en","","Provisie en","Claims en","","Provisie en","Claims en
Provenu
Provenu
Provenu"
"Polisnr - naam verzekerde","Premie","","","Provenu","Premie","","","Provenu","","","","",""
"","","Kosten","incasso","","","Kosten","incasso","","Premie
 Kosten","Provenu
incasso","Premie","Kosten","incasso
non Cvp
Cvp
totaal"
"1304150 - STICHTING BEWAA","1.456","","","","","","","","","","1.456","",""
"Oeganda","","","","","","","","","","","","",""
"1010614 - CLIMATE FUND MA","282.921","","","","","","","","","","282.921","",""
"1302329 - RURAL SPARK B.V.","15.623","","","","","","","","","","15.623","",""
"Panama","","","","","","","","","","","","",""
"455904 - ING BANK N.V.","","","-1.214.357","","","","","","","","","","-1.214.357"
"Paraguay","","","","","","","","","","","","",""
"1086510 - PHILIPS MEDICAL S","511","","","","","","","","","","511","",""
"Polen","","","","","","","","","","","","",""
"776319 - FOODMATE B.V.","","","-7.500","","","","","","","","","","-7.500"
"Sri Lanka","","","","","","","","","","","","",""
"395009 - CO(cid:214)PERATIEVE RAB","","","-65.102","","","","","","","","","","-65.102"
"416157 - CO(cid:214)PERATIEVE RAB","","","-969.668","","","","","","","","","","-969.668"
"814882 - CO(cid:214)PERATIEVE RAB","","","-1.158.395","","","","","","","","","","-1.158.395"
"Suriname","","","","","","","","","","","","",""
"503004 - ING BANK N.V.","","","","52.630","","","","","","","","","52.630
52.630"
"Tanzania","","","","","","","","","","","","",""
"838264 - CO(cid:214)PERATIEVE RAB","","","-282.939","","","","","","","","","","-282.939"
"Turkije","","","","","","","","","","","","",""
"1035460 - PHILIPS MEDICAL S","","","-10.242","","","","","","","","","","-10.242"
"Uruguay","","","","","","","","","","","","",""
"1088808 - PHILIPS MEDICAL S","","500","","","","","","","","","","500",""
"1241741 - PHILIPS MEDICAL S","-389","","","","","","","","","","-389","",""
"Verenigde Arabische Emirate","","","","","","","","","","","","",""
"146067 - DAMEN SHIPYARDS","","","-680.216","","","","","","","","","","-680.216"
"147605 - DAMEN SHIPYARDS","","","-4.486","","","","","","","","","","-4.486"
"843208 - DAMEN SHIPYARDS","","","-69.966","","","","","","","","","","-69.966"
"918674 - PHILIPS MEDICAL SY","","","-69.672","","","","","","","","","","-69.672"
"1236799 - PHILIPS MEDICAL S","","500","","","","","","","","","","500",""
