"December
2023","","","","","","","","","","","","",""
"","","","","signalerings-","landen-","","dekkings-","","","dekkings-","","",""
"","","","","plafond","plafond","","toezeggingen","","","adviezen","","",""
"land en premieklasse","beleid","IMF/WB","DGGF","","","polissen","","schade","CvP","","aanvragen","totaal","ruimte"
"Christmas Eiland (0)","open","","nee","","","","","","","","","0",""
"Cocos (Keeling) Eilanden (0)","open","","nee","","","","","","","","","0",""
"Colombia (4)","open","","ja","3.000.000.000","4.000.000.000","122.313.041","4.353.390","0","0","0","0","126.666.431","3.873.333.569"
"Comoren (7)","uitzondering","No conditionality","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Congo (7)","uitzondering","Non-zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","0","0","1.307.155","0","0","1.307.155","300.000.000"
"Congo Brazzaville (7)","uitzondering","Zero non-concessional borrowing limit","nee","225.000.000","300.000.000","","","","","","","0","300.000.000"
"Cook Eilanden (0)","geen beleid","","nee","","","","","","","","","0",""
"Costa Rica (4)","beperkt","","nee","2.250.000.000","3.000.000.000","1.777.197","0","0","0","0","0","1.777.197","2.998.222.803"
"Cuba (7)","uitzondering","","nee","150.000.000","200.000.000","18.169.907","0","31.387.278","3.397.519","0","0","52.954.704","181.830.093"
"Cura(cid:231)ao (5)","beperkt","","nee","200.000.000","250.000.000","0","0","0","0","0","0","0","250.000.000"
"Cyprus (0)","beperkt","","nee","","","29.687.810","0","0","0","0","0","29.687.810",""
"Denemarken (0)","open","","nee","","","8.992.330","0","0","0","0","0","8.992.330",""
"Djibouti (7)","uitzondering","Zero non-concessional borrowing limit","ja","35.000.000","50.000.000","120.102.515","0","0","0","0","137.062.500","120.102.515","-70.102.515"
"Dominica (7)","uitzondering","No non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Dominicaanse Republiek (4)","beperkt","","nee","2.250.000.000","3.000.000.000","0","0","0","0","0","3.109.793","0","3.000.000.000"
"Duitsland (0)","open","","nee","","","18.543.752","0","0","0","0","0","18.543.752",""
"Ecuador (6)","beperkt","","nee","525.000.000","700.000.000","93.674.564","3.749.363","257.771","0","0","0","97.681.698","602.576.073"
"Egypte (6)","beperkt","","ja","675.000.000","900.000.000","97.350.482","129.155.506","0","432.108","0","1.784.843","226.938.096","673.494.012"
"El Salvador (7)","beperkt","","nee","225.000.000","300.000.000","0","0","0","0","0","0","0","300.000.000"
"Equatoriaal Guinee (7)","uitzondering","","nee","225.000.000","300.000.000","","","","","","","0","300.000.000"
"Eritrea (7)","geen beleid","No non-concessional borrowing limit","ja","35.000.000","50.000.000","","","","","","","0","50.000.000"
"Estland (0)","open","","nee","","","24.989.986","0","0","0","0","0","24.989.986",""
"eSwatini (6)","geen beleid","","nee","350.000.000","450.000.000","","","","","","","0","450.000.000"
"Ethiopiº (7)","uitzondering","Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0","0","2.698","20.273","0","0","22.971","300.000.000"
"Falkland Eilanden (0)","geen beleid","","nee","","","","","","","","","0",""
"Faroºr Eilanden (0)","geen beleid","","nee","1.500.000.000","2.000.000.000","","","","","","","0","2.000.000.000"
"Fiji (5)","geen beleid","","nee","750.000.000","1.000.000.000","","","","","","","0","1.000.000.000"
"Filippijnen (3)","open","","ja","","","2.839.382.935","52.866.633","3.827","33.538","0","0","2.892.286.933",""
"Finland (0)","open","","nee","","","16.311.190","0","0","0","0","0","16.311.190",""
"Frankrijk (0)","open","","nee","","","13.023.677","0","0","0","0","76.041.327","13.023.677",""
"Frans Guyana (0)","open","","nee","","","","","","","","","0",""
"Frans Polynesiº (0)","geen beleid","","nee","","","","","","","","","0",""
"Gabon (7)","geen beleid","","nee","225.000.000","300.000.000","0","0","0","67.624","0","0","67.624","300.000.000"
"Gambia (7)","uitzondering","No conditionality","ja","35.000.000","50.000.000","0","0","0","0","0","0","0","50.000.000"
"1_60_stock","","","","","","' Atradius 2015","","","","","","","Page 2 of 8"
