"December
2023","","","","","","","","",""
"","","","signalerings-","landen-","dekkings-","","","dekkings-",""
"","","","plafond","plafond","toezeggingen","","","adviezen",""
"land en premieklasse","beleid
IMF/WB","DGGF","","","polissen","schade","CvP","aanvragen","totaal
ruimte"
"Polen (0)","open","nee","","","1.364.086
0","605.562","25.795.833","0
0","27.765.481"
"Porto Rico (0)","beperkt","nee","","","","","","","0"
"Portugal (0)","open","nee","","","528.415
0","0","0","0
0","528.415"
"Qatar (3)","open","nee","","","","","","","0"
"Reunion (0)","open","nee","","","","","","","0"
"Roemeniº (3)","open","nee","","","3.230.530
0","142","108","0
2.122.937","3.230.780"
"Rusland (7)","uitzondering","nee","300.000.000","400.000.000","24.501.329
0","37.174.304","1.261.743","0
0","62.937.376
375.498.671"
"Rwanda (6)","beperkt","Non-zero non-concessional borrowing limit
ja","350.000.000","450.000.000","273.722
545.529","0","9.308","0
0","828.559
449.180.749"
"Salomons Eilanden (6)","geen beleid
Zero non-concessional borrowing limit","nee","85.000.000","115.000.000","","","","","0
115.000.000"
"Samoa (7)","geen beleid
Zero non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"Samoa Amerikaans (0)","geen beleid","nee","","","","","","","0"
"San Marino (0)","geen beleid","nee","375.000.000","500.000.000","","","","","0
500.000.000"
"Sao Tome & Principe (7)","uitzondering
Zero non-concessional borrowing limit","ja","35.000.000","50.000.000","","","","","0
50.000.000"
"Saoedi Arabiº (2)","open","nee","","","146.668.561
174.350.205","40.284.738","0","0
0","361.303.504"
"Senegal (5)","beperkt
No non-concessional borrowing limit","ja","1.125.000.000","1.500.000.000","0
57.207.024","0","302.060","0
47.302.682","57.509.084
1.442.792.976"
"Serviº (4)","beperkt","nee","2.250.000.000","3.000.000.000","0
0","0","2.762.859","0
0","2.762.859
3.000.000.000"
"Seychellen (6)","geen beleid","nee","85.000.000","115.000.000","","","","","0
115.000.000"
"Sierra Leone (7)","uitzondering
Zero non-concessional borrowing limit","ja","150.000.000","200.000.000","0
0","984.427","122.232","0
0","1.106.659
200.000.000"
"Singapore (0)","open","nee","","","5.142.145
0","0","0","0
0","5.142.145"
"Sint Maarten (Frans gedeelte) (0)","open","nee","","","","","","","0"
"Sint Maarten (Nederlands gedeelte","beperkt","nee","200.000.000","250.000.000","","","","","0
250.000.000"
"Sint Pierre en Miquelon (0)","geen beleid","nee","","","","","","","0"
"Sint-Bartholomeus (0)","geen beleid","nee","","","","","","","0"
"Sloveniº (0)","open","nee","","","0
0","0","7.900","0
10.000.000","7.900"
"Slowakije (0)","open","nee","","","","","","","0"
"Soedan (Noord) (7)","uitzondering
Zero non-concessional borrowing limit","ja","225.000.000","300.000.000","0
0","56.805","39.094.349","0
0","39.151.154
300.000.000"
"Somaliº (7)","uitzondering
Zero non-concessional borrowing limit","ja","35.000.000","50.000.000","0
0","21","271.903","0
0","271.924
50.000.000"
"Spanje (0)","open","nee","","","16.681.162
0","0","0","0
0","16.681.162"
"Sri Lanka (7)","uitzondering","ja","225.000.000","300.000.000","234.702.073
0","61.580.922","0","0
0","296.282.995
65.297.927"
"St. Helena (0)","geen beleid","nee","","","","","","","0"
"St. Kitts & Nevis (6)","geen beleid","nee","85.000.000","115.000.000","","","","","0
115.000.000"
"St. Lucia (7)","geen beleid
No non-concessional borrowing limit","nee","35.000.000","50.000.000","","","","","0
50.000.000"
"St. Vincent & Grenadines (7)","geen beleid
No non-concessional borrowing limit","nee","35.000.000","50.000.000","2.742.441
0","0","0","0
0","2.742.441
47.257.559"
"Suriname (7)","beperkt","ja","150.000.000","200.000.000","5.027.562
0","2.495","6.487.796","0
0","11.517.853
194.972.438"
"1_60_stock","","","","","' Atradius 2015","","","","Page 6 of 8"
