"","","centrale","monetaire","lagere","staats-","staats-","goede","standaard","goede","standaard","onbekend
totaal"
"land en premieklasse","produkt","overheid","authoriteit","overheid","bank","deelneming","bank","bank","particulier","particulier",""
"Vietnam (4)","Polis","","","","","","","","","125.588.579","125.588.579"
"Zambia (7)","Polis","64.556.410","","","","","","","","0","64.556.410"
"Zuid Afrika (4)","Dekkingstoezeggin","","","","","","","","","1.408.910","1.408.910"
"","Polis","","","","","","","","","27.320.707","27.320.707"
"Zuid Korea (0)","Polis","","","","","","","","","896.185","896.185"
"Zweden (0)","Dekkingstoezeggin","","","","","","","","","1.008.473","1.008.473"
"","Polis","","","","","","","","","28.415.511","28.415.511"
"Zwitserland (0)","Dekkingstoezeggin","","","","","","","","","950.000","950.000"
"Totaal polissen","","640.409.894","817.012.497","115.385.526","86.584.940","1.028.146.137","2.688.561","34.380.428","46.821.847","9.821.806.875","0
12.593.236.704"
"Totaal dekkingstoezeggingen","","788.351.936","1.467.811.194","182.944.932","0","122.775.694","0","22.132.474","40.938.400","2.404.552.023","0
5.029.506.653"
"Totaal risico","","1.428.761.830","2.284.823.691","298.330.457","86.584.940","1.150.921.831","2.688.561","56.512.902","87.760.247","12.226.358.898","0
17.622.743.358"
"Totaal dekkingsadviezen","","0","202.445.380","0","0","0","0","0","0","458.725.896","0
661.171.276"
