"","Overzicht netto reëel obligo per premieklasse en produkt per contracttype (stand in euro)","","","","","","",""
"December","2023","","","","","","",""
"","kapitaal-","uitvoering van
financiering
werktuig-","investering
lease
onteigening","koersrisico","inschrijvings-","zelfstandige","trade","werk
totaal"
"","goederen","werken
dekking","","","garantie","garantie","finance","kapitaal"
"GOM","","","","","","","",""
"Premieklasse:","3","","","","","","",""
"Polis","","1.486.796","","","","","","1.486.796"
"Premieklasse:","7","","","","","","",""
"Polis","","0","","","","","","0"
"","Subtotaal","1.486.796","","","","","","1.486.796"
"2_50_stock_d","","","© Atradius 2009","","","","","Pagina 2 van 3"
