"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035 e.v.","totaal"
"EKV","","","","","","","","","","","","",""
"Angola","52.250.116","50.926.234","49.611.450","48.294.004","46.368.188","37.781.625","18.513.958","0","0","0","0","0","303.745.575"
"Argentinië","4.377.288","2.336.112","2.218.507","1.067.417","1.029.684","991.873","954.135","423.566","0","0","0","0","13.398.581"
"Bahama's","14.404.651","9.316.327","2.358.427","0","0","0","0","0","0","0","0","0","26.079.405"
"Bangladesh","7.701.597","7.521.482","7.343.465","7.164.793","5.996.243","3.366.249","1.781.053","1.700.998","820.469","0","0","0","43.396.349"
"België","5.357.533","7.054.223","21.611.258","20.871.514","20.136.655","19.387.759","18.652.280","17.912.536","15.336.792","14.761.714","14.193.410","37.168.054","212.443.729"
"Botswana","224.432","224.432","224.432","224.432","224.432","130.918","0","0","0","0","0","0","1.253.077"
"Brazilië","189.101.092","184.315.990","127.357.376","91.169.898","86.333.409","81.480.369","49.690.669","20.843.472","19.919.936","18.992.283","18.067.686","63.019.184","950.291.362"
"Canada","8.608.748","7.661.258","6.905.464","6.367.476","6.194.974","6.021.874","5.849.073","5.676.273","5.503.685","2.950.495","0","0","61.739.320"
"Chili","170.846","170.846","0","0","0","0","0","0","0","0","0","0","341.692"
"China","28.162.603","28.892.582","26.862.512","24.124.856","21.371.024","4.857.996","0","0","0","0","0","0","134.271.573"
"Colombia","2.693.354","1.453.672","1.308.749","925.629","613.781","543.527","290.263","144.991","0","0","0","0","7.973.966"
"Costa Rica","226.944","434.140","408.982","383.825","182.487","0","0","0","0","0","0","0","1.636.378"
"Cuba","3.700.163","3.511.830","3.323.681","3.135.515","2.947.482","0","0","0","0","0","0","0","16.618.671"
"Cyprus","3.087.894","3.017.125","2.946.981","2.876.651","2.806.499","2.735.882","2.665.663","2.595.333","2.525.105","2.454.639","1.965.017","0","29.676.789"
"Denemarken","7.045.500","0","0","0","0","0","0","0","0","0","0","0","7.045.500"
"Djibouti","618.887","12.535.125","12.258.526","11.981.927","11.705.519","11.428.729","11.152.130","10.875.531","10.599.123","10.322.333","10.045.734","4.643.902","118.167.466"
"Dominicaanse Republiek","363.538","357.317","0","0","0","0","0","0","0","0","0","0","720.854"
"Duitsland","3.934.270","3.784.329","3.636.808","3.488.505","2.876.332","1.153.520","0","0","0","0","0","0","18.873.762"
"Ecuador","4.742.332","8.873.956","7.963.064","6.388.807","5.095.331","4.508.533","4.275.832","3.929.357","3.929.357","3.929.357","3.929.357","23.558.193","81.123.473"
"Egypte","688.680","123.964.878","2.256.154","2.236.211","1.931.927","1.607.394","1.607.394","1.607.394","1.607.394","1.607.394","1.607.394","9.640.347","150.362.561"
"Estland","1.625.698","3.209.535","3.156.748","3.103.962","3.051.211","2.998.388","2.945.602","2.892.815","0","0","0","0","22.983.959"
"Filippijnen","0","161.140.172","313.092.982","301.285.282","289.502.241","277.655.517","265.862.179","254.054.479","242.262.599","230.433.553","218.631.376","104.883.757","2.658.804.138"
"Finland","4.471.048","4.341.113","3.727.087","2.735.439","1.132.667","0","0","0","0","0","0","0","16.407.354"
"Frankrijk","2.804.293","2.730.025","1.985.586","1.932.842","1.880.231","1.827.308","0","0","0","0","0","0","13.160.285"
"Ghana","20.412.989","23.982.793","27.352.361","22.812.106","20.587.804","18.354.190","17.151.553","12.580.612","11.359.920","9.529.454","7.826.210","3.888.929","195.838.921"
"Griekenland","12.579.022","0","0","0","0","0","0","0","0","0","0","0","12.579.022"
"Honduras","3.975.020","3.975.020","0","0","0","0","0","0","0","0","0","0","7.950.040"
"Hong Kong","902.626","151.443","0","0","0","0","0","0","0","0","0","0","1.054.068"
"Ierland","7.931.856","6.672.532","6.572.732","6.472.253","6.372.231","6.270.922","6.170.815","6.070.336","4.776.042","2.902.120","1.357.519","0","61.569.358"
