"","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding"
"Albanië","","410","0","","","","","","","","410","0"
"Algerije","-162.908","248.355","0","","","","","","","-162.908","248.355","0"
"Angola","-38.669.054","148.599","0","","","","","","","-38.669.054","148.599","0"
"Antigua & Barbuda","745","1.458.966","0","","","","","","","745","1.458.966","0"
"Argentinië","9.708.117","147.298.058","0","","","","","","","9.708.117","147.298.058","0"
"Benin","-176.563","0","12.555.067","","","","","","","-176.563","0","12.555.067"
"Bolivia","749","0","32.606.341","","","","","","","749","0","32.606.341"
"Botswana","","","","100.623","0","0","","","","100.623","0","0"
"Brazilië","-7.294.126","4.465","6","12.326.535","0","0","","","","5.032.409","4.465","6"
"Bulgarije","1.518","8.603","0","","","","","","","1.518","8.603","0"
"Burkina Faso","146.524","370.164","9.253.224","","","","","","","146.524","370.164","9.253.224"
"Canada","","","","290.557","0","0","","","","290.557","0","0"
"China","","","","4.032.972","0","0","","","","4.032.972","0","0"
"Congo","-473.249","-34.907","42.387.255","-220.759","1.342.062","44.698.893","","","","-694.008","1.307.155","87.086.149"
"Cuba","646","-161","0","31.386.633","3.397.681","0","","","","31.387.278","3.397.519","0"
"Ecuador","","","","257.771","0","0","","","","257.771","0","0"
"Egypte","-55.406","432.108","21.391.826","","","","","","","-55.406","432.108","21.391.826"
"Ethiopië","2.698","20.273","1.003.753","","","","","","","2.698","20.273","1.003.753"
"Filippijnen","3.827","33.538","0","","","","","","","3.827","33.538","0"
"Gabon","-125.484","67.624","2.303.184","","","","","","","-125.484","67.624","2.303.184"
"Georgië","","","","-172.127","64.863","0","","","","-172.127","64.863","0"
"Ghana","30.181","1.004.277","68.152.573","6.895.320","265.642","12.060.223","","","","6.925.500","1.269.919","80.212.796"
"Guyana","2.381","238.649","5.577.226","","","","","","","2.381","238.649","5.577.226"
"Honduras","87.568","281.582","9.868.593","","","","","","","87.568","281.582","9.868.593"
"Hong Kong","","","","201.529","0","0","","","","201.529","0","0"
"India","","","","13.842.352","0","0","","","","13.842.352","0","0"
"Indonesië","-11.680","23.476.993","0","6.683.208","117.805","0","","","","6.671.528","23.594.798","0"
"Irak","3.660.352","5.124.793","49.441.060","32.385","44.188","417.194","","","","3.692.736","5.168.981","49.858.254"
"Iran","341.926","614.519","0","","","","","","","341.926","614.519","0"
"Ivoorkust","7.585","2.485.115","63.831.293","17.287.168","0","0","","","","17.294.753","2.485.115","63.831.293"
"Jemen Republiek","289","965.287","3.833.708","","","","","","","289","965.287","3.833.708"
"Kameroen","-25.733","1.789.965","9.218.338","-1.647.459","-3.818","0","","","","-1.673.191","1.786.147","9.218.338"
