"","Specificatie nieuwe schadezaken (in euro)","","","","","","","","",""
"December","2023","","","","","","","","",""
"","polis","oudste termijn","polis eind","verzekerde","verzekerde","debiteur","debiteur","debiteur","sector","dreigende
faciliteit"
"","nummer","openstaand","datum","nummer","naam","nummer","naam","type","","schade"
"Amerika","","","","","","","","","",""
"Argentinië","","","","","","","","","",""
"","943273","15-jun-2023","15-dec-2026","15472128","IHC HOLLAND B.V.","21702634","DRAGADOS ARGENTINOS DASA SA","standaard particulier","Transport","4.933.442
EKV"
"","","","","","","","","","Totaal land","4.933.442"
"","","","","","","","","","Totaal dreigende schade","4.933.442"
"3_00_flow_open","","","","","","© Atradius 2011","","","","Page 1 of 1"
