"","30 november 2023","december-23","Saldo 31 december 2023"
"Liquide saldo t.g.v. de staat","1.138.237,72","","1.138.237,72"
"Verantwoorde, nog niet ontvangen premie","105.285.166,10","",""
"Verantwoorde premies","","2.557.611,42",""
"","","107.842.777,52",""
"Verantwoorde, nog niet ontvangen premie","","(106.425.256,14)",""
"","","1.417.521,38","1.417.521,38"
"Verantwoorde, nog niet ontvangen provisie- en kostennota's","13.500,00","",""
"Verantwoorde provisie- en kostennota's","","4.500,00",""
"","","18.000,00",""
"Verantwoorde, nog niet ontvangen provisie- en kostennota's","","(11.500,00)",""
"","","6.500,00","6.500,00"
"Verantwoorde, nog niet ontvangen provenu","29.394,00","",""
"Verantwoorde provenu","","5.197.752,13",""
"","","5.227.146,13",""
"Verantwoorde, nog niet ontvangen provenu","","(120.323,20)",""
"","","5.106.822,93","5.106.822,93"
"Verantwoorde, nog niet uitbetaalde schade","(16.754,44)","",""
"Verantwoorde schade","","(5.647.379,63)",""
"","","(5.664.134,07)",""
"Verantwoorde, nog niet uitbetaalde schade","","1.076.384,96",""
"","","(4.587.749,11)","(4.587.749,11)"
"Voorschot Vergoedingsregeling","","2.565.500,00","(2.565.500,00)"
"Bevoorschotting","","4.800.000,00","4.800.000,00"
"Remises","","10.800.000,00","(10.800.000,00)"
"Doorbelasten kosten juridische werkzaamheden inzake IHC, brief 7 december","","11.280,23","(11.280,23)"
"Doorbelasten kosten inzake dossier Enraf Nonius, brief 7 december","","44.267,40","(44.267,40)"
"Zuerich Versicherungs Gesellsch Sri Lanka","","(2.391.741,89)","2.391.741,89"
"Zuerich Versicherungs Gesellsch Sri Lanka (USD 759,493,20)","","(690.159,75)","690.159,75"
"Nog te verrekenen posten vorige maand","1.338.951,78","","(1.338.951,78)"
"Nog te verrekenen posten huidige maand","","4.526.000,50","4.526.000,50"
