"December","2023","","","","","","","",""
"","","aanvraag","","","","","","Maximale",""
"","datum","nummer","produkt","type","verzekerde naam","land","debiteur naam","Schadevergoeding sector",""
"EKV","","","","","","","","",""
"","01-12-2023","1298989","dekkingstoezegging","kapitaalgoederen","CHRISTIAENS ENGINEERING AND DEVEL Verenigd Koninkrijk","","HOWDEN ENTERPRISES LTD","3.512.202","Mfg of agricult + forest machinery"
"","04-12-2023","1298300","dekkingstoezegging","kapitaalgoederen","AIRCRETE SYSTEMS B.V.","Zuid Afrika","AERTEC SA (PTY) LTD","10.556.962","Other building completion"
"","04-12-2023","1298285","dekkingstoezegging","zelfstandige garantie","VEKOMA RIDES MANUFACTURING B.V.","Verenigde Staten van Amerika","MANSION ENTERTAINMENT GROUP","1.100.000","Other entertainment activities"
"","07-12-2023","1299395","dekkingstoezegging","kapitaalgoederen","GTE FINANCE B.V.","Senegal","HOCTOGONE SENEGAL SA","2.252.786","Sale of motor vehicles"
"","07-12-2023","1300012","dekkingstoezegging","kapitaalgoederen","HORTILIFE B.V.","Slovenië","PANVITA D.O.O.","10.000.000","Whol. agricultural machinery/parts"
"","08-12-2023","1299950","dekkingstoezegging","kapitaalgoederen","RURAL SPARK B.V.","Kameroen","SOL! GROUPE SOL!","336.250","Production of electricity"
"","11-12-2023","1299620","dekkingstoezegging","zelfstandige garantie","THALES NEDERLAND B.V.","Egypte","NVL EGYPT","13.800.000","Defence activities"
"","12-12-2023","1300442","dekkingstoezegging","financiering","BANK Y","Verenigd Koninkrijk","CS SHIPFUND BV","32.406.991","Building and repairing of ships"
"","12-12-2023","1299995","dekkingstoezegging","zelfstandige garantie","IHC HOLLAND B.V.","Nederland","BAGGERBEDRIJF DE BOER B.V.","18.800.000","Building and repairing of ships"
"","12-12-2023","1300425","dekkingstoezegging","zelfstandige garantie","VEKOMA RIDES MANUFACTURING B.V.","Mexico","SIX FLAGS MÉXICO, S.A. DE C.V.","1.102.400","Other entertainment activities"
"","12-12-2023","1300067","dekkingstoezegging","financiering","DZ BANK AG DEUTSCHE ZENTRAL-GENO India","","VISHWA SAMUDRA DREDGING PRIVAT","67.912.075","Building and repairing of ships"
"","13-12-2023","1300759","dekkingstoezegging","lease","VMR B.V.","Verenigde Staten van Amerika","OVERSEAS SHIPHOLDING GROUP,
INC.","1.437.471","Renting of other machinery nec"
"","13-12-2023","1300771","dekkingstoezegging","lease","VMR B.V.","Nederland","CLEAN CAP B.V. I.O.","1.238.520","Renting of other machinery nec"
"","13-12-2023","1300775","dekkingstoezegging","lease","VMR B.V.","Nederland","CLEAN CAP B.V. I.O.","1.238.520","Renting of other machinery nec"
"","18-12-2023","1301437","dekkingstoezegging","kapitaalgoederen","LG SONIC B.V.","Senegal","OFFICE DES LACS ET COURS D EAU OL","31.045.308","Mfg instr/appl for measuring"
"","18-12-2023","1301447","dekkingstoezegging","financiering","INVEST INTERNATIONAL CAPITAL B.V.","Senegal","OFFICE DES LACS ET COURS D EAU OL","39.685.486","Mfg instr/appl for measuring"
"","18-12-2023","1304070","dekkingstoezegging","zelfstandige garantie","SMA B.V.","Verenigde Arabische Emiraten","SD (MIDDLE EAST) LLC T/A SIEMENS DE","4.480.000","Mfg of machinery and equipment nec"
"","20-12-2023","1304105","dekkingstoezegging","kapitaalgoederen","GTE FINANCE B.V.","Senegal","MDNC SA","5.364.410","Sale of motor vehicles"
"","21-12-2023","1302677","dekkingstoezegging","werkkapitaal","ING BANK N.V.","Nederland","VAN OORD FINANCE B.V.","390.902.098","Building and repairing of ships"
