"5.4 Doorloop- en behandeltijden (in werkdagen)","","","","","","","","","","","","","","",""
"december 2023","","","","","","","","","","","","","","",""
"Resultaten","","","","","","","","","","","","","","",""
"","","","100","","","","","Doorlooptijd en behandelduur","","","","","","",""
"","","","Dagen","","","","","voortschrijdend ytd gemiddelde","","","","","","",""
"Behandelduur per instantie december 2023","","","","","","","","","","","","","","",""
"","","","90","","","","","","","","","","","",""
"","Resultaat","Streefwaarde","","","","","","","","","","","","",""
"aantal zaken binnen machtiging","8","","","","","","","","","","","","","",""
"","","","80","","","","","","","","","","","",""
"aantal zaken buiten machtiging","3","","","","","","","","","","","","","",""
"","","","70","","","","","","","","","","","",""
"Binnen machtiging","","","","","","","","","","","","","","",""
"Behandelduur ADSB","28","31","60","","","","","","","","","","","",""
"Informatieaanvraag","10","12","","","","","","","","","","","","",""
"posttraject / administrative delay","-","2","50","","","","","","","","","","","",""
"","","","streefwaarde is 48","","","","","","","","","","","",""
"Doorlooptijd","38","45","","","","","","","","","","","","",""
"","","","40","","","","","","","","","","","",""
"","","","streefwaarde is 34","","","","","","","","","","","",""
"Buiten machtiging","","","","","","","","","","","","","","",""
"","","","30","","","","","","","","","","","",""
"Behandelduur ADSB","34","36","","","","","","","","","","","","",""
"Verzekeringscomité","4","7","","","","","","","","","","","","",""
"","","","20","","","","","","","","","","","",""
"Informatieaanvraag","34","12","","","","","","","","","","","","",""
"posttraject / administrative delay","-","2","","","","","","","","","","","","",""
"","","","10","","","","","","","","","","","",""
"Doorlooptijd","73","57","","","","","","","","","","","","",""
"","","","0","","","","","","","","","","","",""
"","","","","jan-23","feb-23","mrt-23","apr-23","mei-23","jun-23","jul-23","aug-23","sep-23","okt-23","nov-23","dec-23"
"","","","Behandelduur","22,9","33,4","34,0","33,0","35,8","34,4","33,5","32,6","33,3","33,7","33,8","33,6"
"","","","Doorlooptijd","33,8","48,8","51,0","48,6","51,8","50,2","50,4","49,1","49,7","51,4","52,4","52,0"
"Voortschrijdend gemiddelden EKV circuit va 1-2023","","","","","","","","","","","","","","",""
"totaal aantal zaken binnen machtiging","110","","","","","","","","","","","","","",""
"totaal aantal zaken buiten machtiging","37","","","","","","","","","","","","","",""
"behandelduur (incl VC)","34","34","130","","","","","Doorlooptijd per maand","","","","","","",""
"informatieperiode verzekerde","17","12","Dagen
120","","","","","","","","","","","",""
"posttraject /administrative delay","1","2","","","","","","","","","","","","",""
"","","","110","","","","","","","","","","","",""
"doorlooptijd","52","48","","","","","","","","","","","","",""
"","","","100","","","","","","","","","","","",""
"","","","90","","","","","","","","","","","",""
