"2025","","","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december","totaal"
"Kapitaalmarktleningen","","","","","","","","","","","","","","",""
"AGO","CINT","EUR","0","0","0","0","0","1.857","0","0","0","0","0","1.857","3.714"
"","PRIN","EUR","0","0","0","0","0","26.546","0","265.461","0","0","0","26.546","318.554"
"","RINT","EUR","5.187","0","0","0","0","422","4.936","0","0","0","0","354","10.900"
"EGY","PRIN","EUR","0","0","0","0","0","3.057.173","0","0","0","0","0","3.133.640","6.190.813"
"","RINT","EUR","0","0","0","0","0","233.130","0","0","0","0","0","159.936","393.066"
"JAM","PRIN","EUR","0","12.207","0","0","0","0","0","0","0","0","42.065","0","54.272"
"","RINT","EUR","1.065","0","0","0","0","0","905","0","0","0","0","0","1.970"
"PAK","CINT","EUR","0","0","0","0","0","96.234","0","0","0","0","0","96.234","192.468"
"","PRIN","EUR","0","0","0","0","1.005.587","201.117","0","0","0","0","1.005.587","201.117","2.413.409"
"","RINT","EUR","388.597","0","0","0","0","4.074","369.794","0","0","0","0","3.352","765.817"
"PER","PRIN","EUR","0","0","0","0","0","0","52.049","204.201","0","0","0","0","256.250"
"","RINT","EUR","2.340","0","0","0","0","0","2.174","0","0","0","0","0","4.515"
