"","MINISTERIE VAN BUITENLANDSE ZAKEN","","","","","","","","","","","","","",""
"Angola","CINT","EUR","10.894","3.714","2.792","0","0","0","","","","","","","17.399"
"","CINT","EUR","","","","","","","4.322","1.180","905","0","0","0","6.407"
"","PRIN","EUR","725.665","318.554","318.554","265.461","265.461","0","","","","","","","1.893.695"
"","PRIN","EUR","","","","","","","159.389","43.454","43.454","0","0","0","246.297"
"","RINT","EUR","24.502","8.625","6.350","4.162","2.160","169","","","","","","","45.968"
"","RINT","EUR","","","","","","","1.741","389","166","0","0","0","2.296"
"China","PINT","EUR","1.316.950","0","0","0","0","0","","","","","","","1.316.950"
"","RINT","EUR","1.445.792","0","0","0","0","0","","","","","","","1.445.792"
"Cuba","CINT","EUR","","","","","","","2.307.582","1.132.366","1.229.568","1.332.373","1.375.352","12.190.382","19.567.624"
"","PRIN","EUR","","","","","","","3.665.290","1.615.222","1.684.281","1.754.386","1.825.537","7.359.472","17.904.189"
"","RINT","EUR","","","","","","","331.442","326.460","316.533","278.814","237.740","464.596","1.955.585"
"Egypte","PRIN","EUR","14.921.486","3.211.648","0","0","0","0","","","","","","","18.133.133"
