"1.3 Belangrijkste ontwikkelingen","","",""
"Kerncijfers t/m december","","",""
"Resultaat op factuurbasis","16.891.750","Uitstaand obligo1","17.914.102.343"
"Premie","75.984.629","polissen","12.884.595.689"
"Schade","-119.313.061","dekkingstoezeggingen","5.029.506.654"
"Provenu","60.220.182","dekkingsadviezen","661.171.276"
"Doorlooptijden","52","Nieuw obligo2","3.688.867.846"
"Behandelduur","34","polissen3","887.071.044"
"wachttijd informatie verzekerde","17","dekkingstoezeggingen","2.484.929.095"
"post traject/admin delay","","1  MS-verhogingen","316.867.707"
"Aantal aanvragen4","242","dekkingsadviezen","203.227.498"
"Kritieke Prestatie Indicatoren","","",""
"Mkb","211","roen","101"
"Aantal aanvragen","127","Aantal aanvragen","46"
"Aantal uitreik","","84   Aantal uitreik","55"
"Realisatie t.o.v. doelstelling5","","",""
"Mkb","","G
roen",""
"Aantal aanvragen","97,7%","Aantal aanvragen","60,6%"
"Aantal uitreik","93,6%","Aantal uitreik","G
62,9%"
