"DGGF","","","","","","","","","","","","",""
"Burkina Faso","","","","","","","","","","","","",""
"1218463 - HPA HOLDING B.V.","","","","","","796.931","","","","","","770.367","1.567.298"
"Colombia","","","","","","","","","","","","",""
"1020533 - GEA FOOD SOLUTIONS WEERT","","","","","108.268","","","","","","108.268","","216.537"
"1204711 - BERCOMEX FLOWER PROCESSI","","","","","137.446","","","","","","135.507","","272.954"
"Congo","","","","","","","","","","","","",""
"1083034 - RURAL SPARK B.V.","","","65.694","","","","","","","","","","65.694"
"1114755 - RURAL SPARK B.V.","","","99.707","","","","","","99.707","","","","199.414"
"1151333 - RURAL SPARK B.V.","","","","","","123.363","","123.363","","","","123.363","370.090"
"1182652 - RURAL SPARK B.V.","","153.816","","","","153.816","","153.816","","","","153.816","615.265"
"Djibouti","","","","","","","","","","","","",""
"1045513 - WEBER KLIMAATTECHNIEK B.V.","","","","","","41.652","","","","","","41.549","83.200"
"1217903 - VAN DEN HEUVEL DAIRY & FOO","","","91.422","","","","","","91.422","","","","182.844"
"Egypte","","","","","","","","","","","","",""
"1082368 - PAS REFORM B.V.","152.444","","","","","","","","","","","","152.444"
"1113906 - MEAF MACHINES B.V.","","","66.640","","","","","","66.640","","","","133.280"
"Ghana","","","","","","","","","","","","",""
"1037912 - LUBO SYSTEMS B.V.","","","","","","","","340.509","","","","","340.509"
"1144323 - MACHINEFABRIEK BOESSENKO","","","","310.861","106.330","","","","","301.600","103.292","","822.083"
"1029302 - BINCX B.V.","","","","58.310","","","","","","58.310","","","116.620"
"Guinee","","","","","","","","","","","","",""
"1200966 - RURAL SPARK B.V.","","","","","39.222","","","","","","39.222","","78.444"
"141352 - GEA FOOD SOLUTIONS WEERT B","","","179.442","","","","","","179.442","","","","358.884"
"Hong Kong","","","","","","","","","","","","",""
"1182521 - EUROPEAN MACHINE TRADING","","","","","","","208.250","","","","","","208.250"
"India","","","","","","","","","","","","",""
"1127699 - IHC BEAVERS B.V.","0","","","","","","186.580","","","","","","186.579"
"1130569 - KOKS INDUSTRIE B.V.","","","","","","","","49.761","","","","","49.761"
"1177285 - COLUBRIS WASTE SOLUTIONS","","553.537","","","","","","539.434","","","","","1.092.970"
"Indonesië","","","","","","","","","","","","",""
"1083502 - MEAF MACHINES B.V.","","62.996","","","","","","62.996","","","","","125.991"
"1171542 - NX FILTRATION B.V.","","","","","47.759","","","","","","47.759","","95.517"
