"polis","produkt","eind","verzekerde","debiteur","sector","bruto nominaal","netto reëel","premie","bevoorschot","schade","provenu"
"nummer","","datum","naam","naam","","obligo","obligo","","","",""
"","","","","","Totaal land","2.095.729","1.112.248","121.352","1.765.229","","255.617"
"Polen (premieklasse: 0)","","","","","","","","","","",""
"1219449","polis","04-dec-2025","SLEEVE TECHNOLOGY B.V.","FAERCH FINLAND OY","Machinery and electronics","","","2.335","","",""
"","","","","","Totaal land","","","2.335","","",""
"Turkije (premieklasse: 5)","","","","","","","","","","",""
"1137110","polis","30-jun-2023","FERM INTERNATIONAL B.V.","SEZGIN GUNEY INSAAT HIRDAVAT","Machinery and electronics","2.004.831","166.601","34.905","1.135.552","","976.673"
"","","","","","Totaal land","2.004.831","166.601","34.905","1.135.552","","976.673"
"","Verenigd Koninkrijk (premieklasse: 0)","","","","","","","","","",""
"1156631","polis","24-jun-2027","KOKS INDUSTRIE B.V.","WELL SERVICES GROUP INDUSTRIA","Machinery and electronics","1.395.731","1.024.585","86.191","1.229.521","","261.311"
"","","","","","Totaal land","1.395.731","1.024.585","86.191","1.229.521","","261.311"
"Zwitserland (premieklasse: 0)","","","","","","","","","","",""
"1130250","polis","30-jun-2028","KAPPE INTERMEDIAIR B.V.","ENERGIS N.V.","Agriculture, Food, Textile and","5.256.405","5.256.405","472.916","5.195.850","",""
"","","","","","Totaal land","5.256.405","5.256.405","472.916","5.195.850","",""
