"","","","","","Waarvan","","netto risico","",""
"faciliteit","","Risicocategorie","Bruto nominaal obligo","Bruto reºel obligo","herverzekerd","Netto reºel obligo","gewogen obligo","Netto schade","Netto cvp"
"EKV","","","","","","","","",""
"","dekkingstoezegging","Fabricatierisico","4.829.608.477","4.829.608.477","28.555.460","4.801.053.017","3.965.179.168","",""
"","polis","Fabricatierisico","7.487.051.274","7.487.051.274","49.681.872","7.437.369.402","17.502.442.526","52.857","0"
"","dekkingstoezegging","Garantiedekking","160.123.120","160.123.120","0","160.123.120","160.123.120","",""
"","polis","Garantiedekking","414.491.840","414.383.233","0","414.383.233","414.383.233","1.555.211","0"
"","polis","Koersrisicodekking","291.358.985","291.358.985","0","291.358.985","291.358.985","",""
"","dekkingstoezegging","Kredietrisico","","","","","","",""
"","polis","Kredietrisico","12.816.341.930","4.431.903.955","218.805.008","4.213.098.947","6.628.926.349","436.968.601","284.603.502"
"","polis","Trade finance","3.131.265","106.265","0","106.265","106.265","1.038.274","0"
"","dekkingstoezegging","Vreemde valuta dekking","1.199.499.402","1.199.499.402","0","1.199.499.402","44.440.924","",""
"","polis","Vreemde valuta dekking","12.963.715.116","7.889.690.668","111.376.896","7.778.313.772","89.326.494","",""
"","dekkingstoezegging","Werkkapitaal","66.410.534","66.410.534","0","66.410.534","66.410.534","",""
"","polis","Werkkapitaal","724.794.401","508.508.190","0","508.508.190","508.508.190","66.870.000","0"
"","polis","Werktuig- en onteigeningsdekking","1.960.000","1.960.000","0","1.960.000","1.960.000","",""
"GGP","","","","","","","","",""
"","polis","Kredietrisico","27.790.280","1.486.796","0","1.486.796","-103.194","349.628","1.661.768"
"RHI","","","","","","","","",""
"","dekkingstoezegging","Investeringsdekking","1.919.982","1.919.982","0","1.919.982","1.919.982","",""
"","polis","Investeringsdekking","30.754.540","16.323.871","0","16.323.871","16.323.871","",""
"WHI","","","","","","","","",""
"","polis","Investeringsdekking","","","","","","0","0"
