"Landnaam","","","","","","","","","","","","",""
"","","Provisie en","Claims en","","","Provisie en","Claims en","","Provisie en","Claims en","","Provisie en","Claims en"
"Polisnr - naam verzekerde","Premie","","","Provenu","Premie","","","Provenu","","","","",""
"","","Kosten","incasso","","","Kosten","incasso","","Premie
 Kosten","Provenu
incasso","Premie","Kosten","incasso"
"Koersrisico","","","","","","","","","","","","",""
"1261783 - DAMEN SHIPYARDS","-34.834","","","","","","","","","","-34.834","",""
"1283657 - DAMEN SHIPYARDS","-23.437","","","","","","","","","","-23.437","",""
"Belize","","","","","","","","","","","","",""
"1044919 - DAMEN CUSTOMER","","500","","","","","","","","","","500",""
"Botswana","","","","","","","","","","","","",""
"1218915 - BUAN AGRIVOLTAIC","","","-55.208","","","","","","","","","","-55.208"
"China","","","","","","","","","","","","",""
"1282086 - VEKOMA RIDES MA","5.525","","","","","","","","","","5.525","",""
"1299521 - MEYN FOOD PROC","84.853","","","","","","","","","","84.853","",""
"1304147 - GEA FOOD SOLUTI","267.136","","","","","","","","","","267.136","",""
"Colombia","","","","","","","","","","","","",""
"1192010 - DCN DIVING B.V.","10.183","","","","","","","","","","10.183","",""
"Djibouti","","","","","","","","","","","","",""
"1018285 - CLIMATE FUND MA","81.703","","","","","","","","","","81.703","",""
"Duitsland","","","","","","","","","","","","",""
"1232021 - TOLSMA-GRISNICH","-4.696","","","","","","","","","","-4.696","",""
"Ecuador","","","","","","","","","","","","",""
"1232718 - PHILIPS MEDICAL S","","500","","","","","","","","","","500",""
"1276868 - DAMEN CUSTOMER","-156.242","","","","","","","","","","-156.242","",""
"1283712 - PHILIPS MEDICAL S","118","","","","","","","","","","118","",""
"Egypte","","","","","","","","","","","","",""
"1162755 - VAN OORD DREDGI","","500","","","","","","","","","","500",""
"Frankrijk","","","","","","","","","","","","",""
"1284291 - VEKOMA RIDES MA","1.787","","","","","","","","","","1.787","",""
"Gambia","","","","","","","","","","","","",""
"1280159 - GRAIDCO GLOBAL","220","","","","","","","","","","220","",""
"Griekenland","","","","","","","","","","","","",""
"1134714 - VAN OORD DREDGI","","500","","","","","","","","","","500",""
