"Landnaam","","","","","","","","","","","","",""
"","Provisie en
Claims en","","Provisie en","Claims en","","Provisie en","Claims en","","Provisie en","Claims en","Provenu","Provenu","Provenu"
"Polisnr - naam verzekerde
Premie","Provenu","Premie","","","Provenu","","","","","","","",""
"","Kosten
incasso","","Kosten","incasso","","Premie
 Kosten","Provenu
incasso","Premie","Kosten","incasso","non Cvp","Cvp","totaal"
"Pakistan","","","","","","","","","","","","",""
"5566 - ABN/AMRO BANK NV E","22.247","","","","","","","","","","","22.247","22.247"
"13773 - ING BANK DIVISIE BUI","27.566","","","","","","","","","","","27.566","27.566"
"16741 - ING BANK DIVISIE BUI","27.326","","","","","","","","","","","27.326","27.326"
"18427 - ABN AMRO BANK NV","356.886","","","","","","","","","","","356.886","356.886"
"22089 - ABN/AMRO BANK NV","10.454","","","","","","","","","","","10.454","10.454"
"25298 - ABN AMRO BANK NV F","22.378","","","","","","","","","","","22.378","22.378"
"26336 - ABN/AMRO BANK NV","1.712","","","","","","","","","","","1.712","1.712"
"29653 - STORK INDUSTRIAL E","11.231","","","","","","","","","","","11.231","11.231"
"29954 - ABN/AMRO BANK NV","22.247","","","","","","","","","","","22.247","22.247"
"30949 - ABN/AMRO BANK NV","11.156","","","","","","","","","","","11.156","11.156"
"37795 - ABN/AMRO BANK NV","92.277","","","","","","","","","","","92.277","92.277"
"41948 - ABN/AMRO BANK NV","1.278","","","","","","","","","","","1.278","1.278"
"46763 - ABN AMRO BANK NV","405.974","","","","","","","","","","","405.974","405.974"
"46995 - ABN/AMRO BANK NV","395","","","","","","","","","","","395","395"
"47052 - ABN/AMRO BANK NV","1.712","","","","","","","","","","","1.712","1.712"
"51355 - ABN-AMRO BANK NV","29.376","","","","","","","","","","","29.376","29.376"
"Zimbabwe","","","","","","","","","","","","",""
"60335 - INTERBETON BV","405.843","","","","","","","","","","405.843","","405.843"
"Subtotalen","","","","","","","","","","","","",""
"Uitgereikt voor 1999","","","","","","","","","","","","",""
"","1.450.056","","","","","","","","","","405.843","1.044.213","1.450.056"
"Totalen
2.557.611","4.500
-5.647.380
5.197.752","","","","","","","2.557.611","4.500","-5.647.380","4.100.909","1.096.843","5.197.752"
