"1.8 Benutting Export Krediet Garantie per bank (in Euro)","","","","","","","",""
"december 2023","","","","","","","",""
"","","","Balans","","Benutting","Afgegeven","Toegezegde","Aangevraagde"
"Organisatie nr","Naam bank","Eigen vermogen","datum","Limiet","limiet *","garanties","garanties","garanties"
"4371624","ING Bank","43.050.000.000","31-12-2022","500.000.000","83.878.165","838.781.651","","148.750.000"
"3386107","NIBC","2.045.000.000","31-12-2022","204.500.000","","","",""
"4387519","Rabo","46.358.000.000","31-12-2022","500.000.000","103.083.572","1.030.835.718","","33.688.316"
"3370083","RBS N.V.","2.291.000.000","31-12-2022","229.100.000","","","",""
"4368554","ABN AMRO","22.812.000.000","31-12-2022","500.000.000","27.813.870","278.138.696","",""
"11071441","Deutsche Bank","72.328.000.000","31-12-2022","500.000.000","54.833.035","548.330.348","",""
"3849103","Societe Generale","72.782.000.000","31-12-2022","500.000.000","","","",""
"27255","MIZUHO BANK, LTD.","40.052.963.194","31-3-2023","500.000.000","3.574.600","35.746.003","",""
"4761254","Credit Agricole CIB","73.480.000.000","31-12-2022","500.000.000","","","","148.750.000"
"16181789","Commerzbank AG","30.905.000.000","31-12-2022","500.000.000","1.417.603","14.176.034","",""
"4268594","Natixis","19.579.000.000","31-12-2022","500.000.000","30.196.089","301.960.887","",""
"9214551","Investec Bank PLC","2.905.595.998","31-3-2022","290.559.600","","","",""
"3843995","Unicredit Bank Austria","6.697.000.000","31-12-2022","500.000.000","","","",""
"15539406","SMBC BANK INTERNATIO","4.898.433.075","31-3-2023","489.843.308","9.439.305","94.393.053","",""
"1332819","Banco Santander S.A.","9.758.500.000","31-12-2022","500.000.000","","","",""
"36866745","AKA AUSFUHRKREDIT- G","","","","","","",""
"4782086","MUFG Bank LTD.","92.010.667.498","31-3-2023","500.000.000","23.153.606","231.536.065","",""
"4199367","DZ BANK AG DEUTSCHE","23.076.000.000","31-12-2022","500.000.000","26.459.638","264.596.384","","76.500.000"
"23826544","Invest International Capital B.V.","204.229.000","31-12-2022","20.422.900","","","","105.699.661"
"Totaal","","","","7.734.425.807","363.849.484","3.638.494.840","","513.387.977"
"","* Voor de benutting onder de limiet wordt op verzoek van de Staat uitgegaan van één termijn onder het gegarandeerde contract. (10%)","","","","","","",""
