"","","centrale","monetaire","lagere","staats-","staats-","goede
standaard","goede
standaard","onbekend
totaal"
"land en premieklasse","produkt","overheid","authoriteit","overheid","bank","deelneming","bank
bank","particulier
particulier",""
"Estland (0)","Polis","","","","","","","24.989.986","24.989.986"
"Ethiopië (7)","Polis","","","","","","","476.646","476.646"
"Filippijnen (3)","Dekkingstoezeggin","","52.137.771","","","","","728.862","52.866.633"
"","Polis","","","","","","","2.839.382.935","2.839.382.935"
"Finland (0)","Polis","","","","","","","3.180.505
13.130.684","16.311.190"
"Frankrijk (0)","Polis","","","11.520.343","","","","2.511.335","14.031.677"
"Gambia (7)","Polis","681.642","","","","","","","681.642"
"Ghana (7)","Dekkingstoezeggin","","","","","","","2.005.262","2.005.262"
"","Polis","122.021.835","35.468.145","","","","","50.215.690","207.705.669"
"Griekenland (0)","Dekkingstoezeggin","","","","","","","",""
"","Polis","","","","","","","32.810.781","32.810.781"
"Guinee (7)","Dekkingstoezeggin","8.885.724","","","","","","","8.885.724"
"Honduras (5)","Polis","7.791.040","","","","","","","7.791.040"
"Hong Kong (2)","Polis","","","","","0","","1.544.294","1.544.294"
"Hongarije (0)","Polis","","","","","","","0","0"
"Ierland (0)","Polis","","","","","","","52.984.815","52.984.815"
"India (3)","Dekkingstoezeggin","1.801.994","","55.469.305","","","","20.085.395","77.356.694"
"","Polis","","","","","0
2.688.561","","5.361.464
174.237.235","182.287.260"
"Indonesië (3)","Dekkingstoezeggin","","913.638.810","","","","","","913.638.810"
"","Polis","213.750","226.644.564","","","","","39.146.877","266.005.191"
"Iran (7)","Polis","","","","","","","33.435.000","33.435.000"
"Israël (0)","Dekkingstoezeggin","","","","","","","5.362.981","5.362.981"
"Italië (0)","Polis","","","","","","","118.793.350","118.793.350"
"Ivoorkust (5)","Dekkingstoezeggin","","295.759.877","","","","","5.737.640","301.497.517"
"","Polis","225.558.847","146.620.263","","","","","11.313.541","383.492.651"
"Japan (0)","Polis","","","","","","","293.450.023","293.450.023"
"Jordanië (5)","Polis","","","","","","","1.490.866","1.490.866"
"Kameroen (6)","Dekkingstoezeggin","","","","","","","2.774.906","2.774.906"
"","Polis","","","","","1.364.096","","4.758.479","6.122.575"
"Kazachstan (5)","Polis","","","","","","3.281.408","","3.281.408"
"Kenia (7)","Polis","","38.845.158","","","","","4.625.911","43.471.068"
"Koeweit (2)","Polis","","","","","208.730.352","","1.813.484","210.543.836"
"Letland (0)","Polis","","","","","","","10.097.088","10.097.088"
