"","","centrale","monetaire","lagere","staats-","staats-","goede","standaard","goede","standaard","onbekend","totaal"
"land en premieklasse","produkt","overheid","authoriteit","overheid","bank","deelneming","bank","bank","particulier","particulier","",""
"Liechtenstein (0)","Dekkingstoezeggin","","","","","","","","","12.996.714","","12.996.714"
"","Polis","","","","","","","","","0","","0"
"Litouwen (0)","Polis","","","","","","","","","21.060.003","","21.060.003"
"Luxemburg (0)","Polis","","","","895.160","","","","","","","895.160"
"Maagdeneilanden (Brits) (0)","Polis","","","","","","","","","0","","0"
"Malediven (7)","Polis","","76.896.145","","","","","","","","","76.896.145"
"Maleisië (2)","Polis","","","","","","","","","14.211.814","","14.211.814"
"Marokko (3)","Dekkingstoezeggin","","","","","","","","","2.100.114","","2.100.114"
"","Polis","","41.738.810","","","","","","","2.317.732","","44.056.543"
"Mauretanië (7)","Polis","","","","","0","","","","","","0"
"Mauritius (3)","Polis","","","","","","","","","0","","0"
"Mexico (3)","Dekkingstoezeggin","","","","","","","","","1.729.572","","1.729.572"
"","Polis","","","","","38.176.219","","","","175.319.541","","213.495.760"
"Mozambique (7)","Polis","","","","","","","","","1.002.465.353","","1.002.465.353"
"Myanmar (7)","Dekkingstoezeggin","","15.637.825","","","","","","","","","15.637.825"
"Nederland (0)","Dekkingstoezeggin","","","242.085","","","","","40.938.400","1.571.814.925","","1.612.995.410"
"","Polis","","","","","29.197.187","","","","1.093.986.602","","1.123.183.789"
"Nicaragua (7)","Polis","","938.637","","","","","","","","","938.637"
"Nieuw Zeeland (0)","Dekkingstoezeggin","","","","","","","","","719.736","","719.736"
"Nigeria (6)","Dekkingstoezeggin","","","","","","","","","275.262","","275.262"
"","Polis","","","","","","","","1.096.495","47.213.629","","48.310.123"
"Noorwegen (0)","Polis","","","","","","","","","305.518.172","","305.518.172"
"Oeganda (6)","Dekkingstoezeggin","","","","","","","","","1.137.864","","1.137.864"
"","Polis","","","","","","","","","41.634.650","","41.634.650"
"Oekraïne (7)","Polis","","","","","","","","","9.928.789","","9.928.789"
"Oezbekistan (5)","Polis","","","","","","","7.192.792","","","","7.192.792"
"Oman (5)","Polis","","","0","","524.510.096","","","","4.520.163","","529.030.259"
"Panama (4)","Polis","","","","","","","","","15.380.884","","15.380.884"
"Papua Nieuw Guinea (6)","Dekkingstoezeggin","","141.064.927","","","","","","","","","141.064.927"
"Paraguay (5)","Dekkingstoezeggin","","","","","","","","","24.208.864","","24.208.864"
"","Polis","","","","","","","","1.830.817","1.013.978","","2.844.795"
"Polen (0)","Dekkingstoezeggin","","","","","","","","","1.959.200","","1.959.200"
"","Polis","0","","","","","","","","1.364.086","","1.364.086"
"Portugal (0)","Polis","","","","","","","","","528.415","","528.415"
"2_40_stock_d","","","","","","© Atradius 2009","","","","","Page 3 of 5",""
