"","","development","","infrastructure","electronics","telecom","infrastructure","other","services","and real estate","","production","",""
"","","","","","","industry","","","","","","","",""
"Premieklasse:","0","","","","","","","","","","","","",""
"","Dekkingstoezegging","6.773.694","","1.701.920","17.721.413","","421.886.927","","","40.938.400","382.252.140","1.007.798.982","7.850.177","1.886.923.653"
"Polis","","9.246.754","166.510.546","851.820.318","352.423.688","33.839.327","168.470.335","27.157.962","49.540.106","28.828.536","827.854.441","0","252.386.179","2.768.078.192"
"Premieklasse:","2","","","","","","","","","","","","",""
"","Dekkingstoezegging","9.798.786","","","44.914.856","","","","","","140.217.363","103.444.945","154.738.879","453.114.829"
"Polis","","15.565.119","","261.272.306","264.180.467","","1.004.121.811","","","59.938.753","236.759.198","99.060","92.882.601","1.934.819.316"
"Premieklasse:","3","","","","","","","","","","","","",""
"","Dekkingstoezegging","728.862","913.638.810","","75.510.298","","","","","","7.119.168","","52.782.571","1.049.779.709"
"Polis","","8.442.585","262.419.165","186.356.942","41.903.297","","2.841.361.648","4.242.523","","33.169.911","126.531.611","44.480.812","8.508.690","3.557.417.183"
"Premieklasse:","4","","","","","","","","","","","","",""
"","Dekkingstoezegging","18.208.352","26.487.680","","13.243.716","","","","","","","","1.849.228","59.788.976"
"Polis","","2.476.361","15.136.370","620.867.681","19.285.673","","1.585.121","","","117.080.507","5.856.244","138.876.387","","921.164.344"
"Premieklasse:","5","","","","","","","","","","","","",""
"","Dekkingstoezegging","","57.207.024","","35.404.369","","68.162.673","5.737.640","48.552.434","1.487.317","55.041.748","227.597.204","7.859.848","507.050.257"
"Polis","","176.647.088","","524.510.096","18.815.642","","98.140.433","4.951.245","","","37.422.274","127.418.414","","987.905.191"
"Premieklasse:","6","","","","","","","","","","","","",""
"Dekkingsadvies","","","","","","","","","","","","","202.445.380","202.445.380"
"","Dekkingstoezegging","3.320.435","","","11.719.327","","127.233.542","18.551.097","","48.611.984","","1.413.126","141.064.927","351.914.438"
"Polis","","","","30.500.186","27.241.388","","159.419.242","","","9.563.606","66.713.819","147.902.186","1.919.080","443.259.507"
"Premieklasse:","7","","","","","","","","","","","","",""
"Dekkingsadvies","","","","","","","","","","","458.725.896","","","458.725.896"
"","Dekkingstoezegging","","12.586.532","","436.466","","","","","","705.906.531","","2.005.262","720.934.791"
"Polis","","2.231.303","65.412.686","7.538.152","84.720.261","","112.896.523","","","1.164.435.966","226.556.292","71.318.585","245.483.204","1.980.592.971"
