"Faciliteit:","Investeringen","","Regulier obligo","","","","","Obligo vreemde valuta dekking","","","","Totaal obligo",""
"Maand","Product","Uitgereikt","MS-verhoging","Gebruikt","Mutaties","Totaal","Uitgereikt","MS-verhoging","Gebruikt","Mutaties","Totaal","Gebruikt","Totaal"
"januari","polis","","","0","0","0","","","0","0","0","0","0"
"februari","dekkingstoezegging","1.366.000","","1.366.000","0","1.366.000","0","","0","0","0","1.366.000","1.366.000"
"","polis","","","0","-1.539.640","-1.539.640","","","0","0","0","0","-1.539.640"
"maart","dekkingstoezegging","","","0","0","0","","","0","0","0","0","0"
"","polis","","","0","-498.638","-498.638","","","0","0","0","0","-498.638"
"april","dekkingstoezegging","","","0","-1.366.000","-1.366.000","","","0","0","0","0","-1.366.000"
"","polis","0","","0","1.366.000","1.366.000","0","","0","0","0","0","1.366.000"
"mei","polis","","","0","0","0","","","0","0","0","0","0"
"juni","polis","","","0","0","0","","","0","0","0","0","0"
"juli","dekkingstoezegging","","","0","782.118","782.118","","","0","0","0","0","782.118"
"","polis","","","0","0","0","","","0","0","0","0","0"
"augustus","dekkingstoezegging","","","0","0","0","","","0","0","0","0","0"
"","polis","","","0","0","0","","","0","0","0","0","0"
"september","dekkingstoezegging","","","0","0","0","","","0","0","0","0","0"
"","polis","","","0","-83.436","-83.436","","","0","0","0","0","-83.436"
"oktober","dekkingstoezegging","","","0","0","0","","","0","0","0","0","0"
"","polis","","","0","-401.171","-401.171","","","0","0","0","0","-401.171"
"november","dekkingstoezegging","","","0","0","0","","","0","0","0","0","0"
"","polis","","","0","0","0","","","0","0","0","0","0"
"december","dekkingstoezegging","1.137.864","","1.137.864","0","1.137.864","0","","0","0","0","1.137.864","1.137.864"
"","polis","","","0","0","0","","","0","0","0","0","0"
