"","januari","februari","maart","april","mei","juni
juli","augustus
september","oktober
november","december","totaal"
"2022","","","","","","","","","",""
"EKV","","","","","","","","","",""
"Argentinië","","","","","","","","","",""
"863214 - NEDERLANDSE FINANCIERINGS-","","","","","","","","","6.766","6.766"
"Kenia","","","","","","","","","",""
"963948 - COÖPERATIEVE RABOBANK U.A.","","29.573","","","","","635.411","","","664.984"
"Maagdeneilanden (Brits)","","","","","","","","","",""
"346651 - COÖPERATIEVE RABOBANK U.A.","","","","","","366.941","","","","366.941"
"Noorwegen","","","","","","","","","",""
"875188 - GARANTIINSTITUTTET FOR EKSP","","","","4.243.059","","","","4.196.454","","8.439.513"
"Saoedi Arabië","","","","","","","","","",""
"382637 - COÖPERATIEVE RABOBANK U.A.","","","","","","","8.032.569","","","8.032.569"
"Sri Lanka","","","","","","","","","",""
"416157 - COÖPERATIEVE RABOBANK U.A.","","","-7.880","","","","1.055.841","","906.645","1.954.606"
"790032 - BALLAST NEDAM INTERNATIONA","","","","","64.096.487","","","","","64.096.487"
"Tanzania","","","","","","","","","",""
"838264 - COÖPERATIEVE RABOBANK U.A.","","","","","","","","260.365","","260.365"
"Verenigd Koninkrijk","","","","","","","","","",""
"891448 - B.V. SCHEEPSWERF DAMEN HAR","","760.302","","","","","751.127","","","1.511.429"
"Zambia","","","","","","","","","",""
"763032 - ASHR'A - THE ISRAEL EXPORT IN","","","","","","2.799.479","","","2.803.252","5.602.731"
"977427 - TOLSMA-GRISNICH B.V.","","","","","93.329","","","","","93.329"
