"EKV","","","","","","","","","","","",""
"Argentinië","","","","","","","","","","","",""
"1040070 - IHC MERWEDE HOLDING B.V.","","88","","","","","","","","","","88"
"943273 - IHC HOLLAND B.V.","","","","","","","","672.388","","","","672.388"
"863214 - NEDERLANDSE FINANCIERINGS-","","","","","","","","","","","435.272","435.272"
"Canada","","","","","","","","","","","",""
"1029103 - PHILIPS MEDICAL SYSTEMS NE","","","","","59.325","","","220.497","","","57.323","337.145"
"Cuba","","","","","","","","","","","",""
"822565 - DZ BANK AG DEUTSCHE ZENTRA","","","","","","1.976.064","","","","","","1.976.064"
"Ghana","","","","","","","","","","","",""
"1150956 - COÖPERATIEVE RABOBANK U.A","","","","","","","","","216.935","","","216.935"
"Hong Kong","","","","","","","","","","","",""
"1035751 - AKA AUSFUHRKREDIT- GESELL","","","","","","","","","","7.840","","7.840"
"Indonesië","","","","","","","","","","","",""
"494968 - COÖPERATIEVE RABOBANK U.A.","","","","","","","","","597.119","","","597.119"
"Kenia","","","","","","","","","","","",""
"963948 - COÖPERATIEVE RABOBANK U.A.","","623.946","","","","","496.049","","","","","1.119.995"
"Nederland","","","","","","","","","","","",""
"136929 - ING BANK N.V.","","","","","","","","","6.435.928","","","6.435.928"
"Noorwegen","","","","","","","","","","","",""
"875188 - GARANTIINSTITUTTET FOR EKSP","","","","4.164.023","","","","","4.118.706","","","8.282.729"
"Saoedi Arabië","","","","","","","","","","","",""
"382637 - COÖPERATIEVE RABOBANK U.A.","","","6.927.859","","","","","7.121.763","","","","14.049.621"
"Spanje","","","","","","","","","","","",""
"1201454 - DAMEN CUSTOMER FINANCE B.","","","","","784.678","","","","","","778.042","1.562.720"
"Sri Lanka","","","","","","","","","","","",""
"790032 - BALLAST NEDAM INTERNATIONA","2.007.937","","","","","","","","","","","2.007.937"
"Tanzania","","","","","","","","","","","",""
"857235 - PHILIPS MEDICAL SYSTEMS NED","","","","","","325.562","","","","","","325.562"
"Turkije","","","","","","","","","","","",""
"1035460 - PHILIPS MEDICAL SYSTEMS NE","","","","","","","","","","","20.108","20.108"
