"","Specificatie heropende schadezaken (in euro)","","","","","","","","",""
"December","2023","","","","","","","","",""
"","polis","datum sluiting","polis eind","verzekerde","verzekerde","debiteur","debiteur","debiteur","sector","netto
faciliteit"
"","nummer","","datum","nummer","naam","nummer","naam","type","","schade"
"Midden Oosten","","","","","","","","","",""
"Iran","","","","","","","","","",""
"","21293","01-nov-2023","12-sep-1994","4382824","THALES NEDERLAND B.V.","4053144","MINISTRY OF ROADS AND TRANSPO","onbekend","Machinery and electronics","0
EKV"
"","","","","","","","","","Totaal land","0"
"","","","","","","","","","Totaal netto schade","0"
"3_10_flow_reopen","","","","","","© Atradius 2011","","","","Page 1 of 1"
