"EKV","","","","","","","","",""
"Atradius DSB","","","","","","","","",""
"05-12-2023","1295958","polis","werkkapitaal","INVEST INTERNATIONAL CAPITAL B.V.","Nederland","DAMEN WORKBOATS B.V.","6.981.040","","Building and repairing of ships"
"06-12-2023","1288321","dekkingstoezegging","kapitaalgoederen","GTE FINANCE B.V.","Ivoorkust","SOCIETE DE COMMERCE GE","4.315.465","","Sale of motor vehicles"
"07-12-2023","1293203","dekkingstoezegging","kapitaalgoederen","PHILIPS MEDICAL SYSTEMS NEDERLAN","Colombia","SERVICIO DE ATENCION INTE","3.208.329","","Mfg medical/surgical equipment"
"18-12-2023","1293880","dekkingstoezegging","kapitaalgoederen","PHILIPS MEDICAL SYSTEMS NEDERLAN","Colombia","STEWARD HEALTH CARE INT","1.145.061","","Mfg medical/surgical equipment"
"21-12-2023","1287325","dekkingstoezegging","zelfstandige garantie","HOLLAND SHIPYARDS B.V.","Nederland","TOPEKA HAGLAND GREENBU","10.464.000","Transport","Building and repairing of ships"
"21-12-2023","1288205","dekkingstoezegging","zelfstandige garantie","NIJL B.V.","Nieuw Zeeland","NZ STRONG GROUP LIMITED","719.736","","Mfg lifting/handling equipment"
"21-12-2023","1293777","dekkingstoezegging","zelfstandige garantie","VEKOMA RIDES MANUFACTURING B.V.","Vietnam","VINWONDERS JSC","440.318","","Other entertainment activities"
"28-12-2023","1304150","polis","werkkapitaal","STICHTING BEWAARDER OHV INSTITUTI","Nederland","GEA FOOD SOLUTIONS BAKE","3.030.327","","Mfg oth. general purpose machinery"
"30-12-2023","1285949","dekkingstoezegging","kapitaalgoederen","WINDTURBINESERVICE B.V.","Turkije","HASTEKNIK MAKINA MODEL D","1.487.317","Renewable energy","Constr. building/civil engineering"
"Verzekeringscomité","","","","","","","","",""
"04-12-2023","1281098","dekkingstoezegging","financiering","BANK Y","Filippijnen","DEPARTMENT OF FINANCE","52.137.771","","Agents selling a variety of goods"
"04-12-2023","1281097","dekkingstoezegging","kapitaalgoederen","ATAL PROJECTS B.V.","Filippijnen","CIVIL AVIATION AUTHORITY O","34.379.524","","Agents selling a variety of goods"
"21-12-2023","1282710","dekkingstoezegging","kapitaalgoederen","GTE FINANCE B.V.","Ghana","SOW PROPERTY CONSULT LI","1.451.261","","Sale of motor vehicles"
"30-12-2023","1287033","dekkingstoezegging","kapitaalgoederen","ENERGYRA EUROPE B.V.","Zuid Afrika","GX ENERGI (PTY) LTD","1.408.910","Renewable energy","Architectural and engineering act."
"Totaal","13","","","","","","121.169.059","",""
