"2024","","","januari","februari","maart","april","mei","juni","juli","augustus","september","oktober","november","december","totaal"
"Begrotingsleningen","","","","","","","","","","","","","","",""
"ABW","PRIN","AWG","0","0","0","0","0","1.589.630","0","0","0","0","0","0","1.589.630"
"","RINT","AWG","0","0","0","0","0","80.475","0","0","0","0","0","0","80.475"
"","PRIN","EUR","0","0","0","0","0","0","0","0","0","0","0","109.864","109.864"
"","RINT","EUR","0","0","0","0","0","0","0","0","0","0","0","3.123","3.123"
"AGO","CINT","EUR","0","0","0","0","0","1.570","0","0","0","0","0","1.572","3.142"
"","PRIN","EUR","0","0","0","0","0","57.924","0","0","0","0","0","58.011","115.935"
"","RINT","EUR","0","0","0","0","0","632","0","0","0","0","0","483","1.115"
"CUB","CINT","EUR","0","0","0","0","0","0","0","0","0","740.429","0","0","740.429"
"","PRIN","EUR","0","0","0","0","0","0","0","0","0","1.210.317","0","0","1.210.317"
"EGY","PRIN","EUR","0","0","0","0","0","246.162","0","0","0","0","0","252.283","498.445"
"","RINT","EUR","0","0","0","0","0","32.258","0","0","0","0","0","26.407","58.665"
"MMR","CINT","EUR","196.259","0","0","0","0","44.052","196.259","0","0","0","0","44.158","480.728"
"","PRIN","EUR","253.400","0","0","0","0","42.216","253.400","0","0","0","0","42.318","591.335"
"","RINT","EUR","36.252","0","0","0","0","432","31.304","0","0","0","0","216","68.204"
"PAK","CINT","EUR","0","0","0","0","0","116.117","0","0","0","0","0","116.247","232.365"
"","PRIN","EUR","0","0","0","0","649.409","346.265","0","0","0","0","649.409","346.784","1.991.867"
"","RINT","EUR","267.325","0","0","0","0","4.953","256.339","0","0","0","0","3.796","532.414"
"","aflossing AWG","","0","0","0","0","0","1.589.630","0","0","0","0","0","0","1.589.630"
"","rente AWG","","0","0","0","0","0","80.475","0","0","0","0","0","0","80.475"
"","boeterente AWG","","","","","","","","","","","","","",""
"","Totaal AWG","","0","0","0","0","0","1.670.105","0","0","0","0","0","0","1.670.105"
"","aflossing EUR","","253.400","0","0","0","649.409","692.567","253.400","0","0","1.210.317","649.409","809.260","4.517.763"
"","rente EUR","","499.836","0","0","0","0","200.014","483.902","0","0","740.429","0","196.003","2.120.185"
"","boeterente EUR","","","","","","","","","","","","","",""
"","Totaal EUR","","753.236","0","0","0","649.409","892.582","737.302","0","0","1.950.747","649.409","1.005.264","6.637.948"
