"Schade","",""
"Nr","Rapportnaam","Soort rapport"
"3_00","Specificatie nieuwe schadezaken","Mutaties in rapportage maand"
"3_10","Specificatie gesloten en heropende schadezaken","Mutaties in rapportage maand"
"3_20","Schade per land per faciliteit en produkt","Stand per ultimo rapportage maand"
"3_30","Netto schade per land en faciliteit per sector buiten schuldenregelingen","Stand per ultimo rapportage maand"
"3_40","Netto schade per land en faciliteit per contracttype buiten schuldenregelingen","Stand per ultimo rapportage maand"
"3_50","Aandeel Staat in schuldenregelingen per land en faciliteit","Stand per ultimo rapportage maand"
"","","Stand per ultimo rapportage maand"
"3_60","Netto schade per land buiten schuldenregelingen",""
"","","Mutaties in rapportage maand"
"3_70","Verwachte schadeuitkeringen per land en polis per jaar en maand","Stand per ultimo rapportage maand"
"3_72","Overlopende  schadeuitkeringen per land en polis per jaar en maand","Stand per ultimo rapportage maand"
"3_75","Verwachte schadeuitkeringen per land per jaar en maand","Stand per ultimo rapportage maand"
