"nummer","","datum","naam","naam","","obligo","obligo","","","",""
"Guinee (premieklasse: 7)","","","","","","","","","","",""
"141352","polis","30-jun-2024","GEA FOOD SOLUTIONS WEERT B.V.","TAHER FABRIQUE DE GUINEE SARL","Machinery and electronics","495.800","495.800","12.564","357.709","",""
"1200966","polis","23-aug-2025","RURAL SPARK B.V.","LIGHTBOX AFRICA SA","Electricity, Gas, Water","263.584","156.889","15.858","221.673","","78.192"
"1212237","polis","31-dec-2034","INVEST INTERNATIONAL CAPITAL B.V.","MINISTERIE VAN FINANCIEN","Construction, Real Estate","38.661.236","38.661.236","5.492.171","","",""
"1212827","polis","17-feb-2025","BALLAST NEDAM INTERNATIONAL PROJ","MINISTERE DES INFRASTRUCTURE","Construction, Real Estate","","","461.489","","",""
"1218623","polis","11-nov-2026","DIJKSTAAL INTERNATIONAL B.V.","MINISTERE DES INFRASTRUCTURE","Construction, Real Estate","5.111.973","5.111.973","124.326","","",""
"","","","","","Totaal land","44.532.593","44.425.898","6.106.408","579.382","","78.192"
"","Ivoorkust (premieklasse: 5)","","","","","","","","","",""
"1100688","polis","01-feb-2026","PAS REFORM B.V.","POUSSIN D¿OR S.A.","Machinery and electronics","554.408","298.270","39.158","469.419","","183.589"
"1272682","dekkingsadvies","31-jan-2024","GTE FINANCE B.V.","ELIXO COTE D'IVOIRE SARL","Transport","","","","","",""
"","","","","","Totaal land","554.408","298.270","39.158","469.419","","183.589"
"Kaap Verdische Eilanden (premieklasse: 6)","","","","","","","","","","",""
"1115566","polis","15-mrt-2023","INDEPENDENT ENERGY B.V.","ELSEG LDA","Electricity, Gas, Water","94.758","0","3.809","81.566","","20.188"
"1138210","polis","01-nov-2024","RAINMAKER HOLLAND B.V.","ON TOURS - EXCURSÕES E TRANSP","Other","642.617","261.053","30.915","518.253","","21.850"
"","","","","","Totaal land","737.375","261.053","34.724","599.819","","42.038"
"Kenia (premieklasse: 7)","","","","","","","","","","",""
"415663","polis","01-jun-2023","GEA FOOD SOLUTIONS WEERT B.V.","KENYA SWEETS LIMITED","Machinery and electronics","967.027","0","40.953","673.296","","680.794"
"866597","polis","29-feb-2024","GEA FOOD SOLUTIONS WEERT B.V.","MZURI SWEETS LIMITED","Machinery and electronics","519.182","0","24.752","382.531","","348.675"
"1070091","polis","10-okt-2024","RURAL SPARK B.V.","MWEZI LIMITED","Electricity, Gas, Water","269.475","55.450","15.594","218.082","","37.178"
"1101871","polis","01-dec-2024","GEA FOOD SOLUTIONS WEERT B.V.","MZURI SWEETS LIMITED","Machinery and electronics","412.452","80.301","17.751","309.848","","272.046"
"1192319","polis","30-jun-2027","GEA FOOD SOLUTIONS WEERT B.V.","MZURI SWEETS LIMITED","Machinery and electronics","786.986","469.820","39.579","574.364","","119.852"
"1266455","polis","31-aug-2026","MUSH. COMB. TRADING B.V.","SANERGY LIMITED","Other","434.892","434.892","28.767","226.397","",""
"","","","","","Totaal land","3.390.014","1.040.463","167.396","2.384.518","","1.458.544"
"Liberia (premieklasse: 7)","","","","","","","","","","",""
"1101955","polis","15-jun-2024","RURAL SPARK B.V.","LIB SOLAR LLC","Electricity, Gas, Water","333.148","42.826","18.151","247.796","","207.566"
"1150370","polis","01-jun-2022","DUTCH HEALTH B.V.","MOH (MINISTRY OF HEALTH) LIBERI","Other","1.525.727","0","35.617","1.064.912","",""
"1156075","polis","15-nov-2024","RURAL SPARK B.V.","LIB SOLAR LLC","Electricity, Gas, Water","400.267","107.799","19.355","280.395","","208.900"
"1206766","polis","17-jul-2025","RURAL SPARK B.V.","LIB SOLAR LLC","Electricity, Gas, Water","1.011.291","476.628","54.580","795.333","","346.442"
"1241462","polis","04-apr-2026","RURAL SPARK B.V.","LIB SOLAR LLC","Electricity, Gas, Water","977.310","592.217","46.717","727.591","","195.961"
"1291769","dekkingsadvies","31-mei-2024","RURAL SPARK B.V.","LIB SOLAR LLC","Electricity, Gas, Water","791.284","791.284","","","",""
"","","","","","Totaal land","5.039.026","2.010.754","174.421","3.116.026","","958.868"
"Mali (premieklasse: 7)","","","","","","","","","","",""
"967313","polis","01-jun-2017","DUTCH HEALTH B.V.","GROUPE TOGOLA SA","Other","","","15.117","391.530","214.753","402.315"
"986328","polis","28-aug-2017","DUTCH HEALTH B.V.","GROUPE TOGOLA SA","Other","","","11.782","0","415.199",""
"986334","polis","22-sep-2017","DUTCH HEALTH B.V.","GROUPE TOGOLA SA","Other","","","12.355","0","435.327",""
"993576","polis","05-nov-2017","DUTCH HEALTH B.V.","GROUPE TOGOLA SA","Other","","","18.533","0","653.031",""
"1173686","dekkingsadvies","31-dec-2023","RURAL SPARK B.V.","ACCESS SA","Electricity, Gas, Water","412.400","412.400","","","",""
"1253298","polis","15-nov-2025","RURAL SPARK B.V.","ACCESS SA","Electricity, Gas, Water","203.167","138.832","10.640","","",""
