page,table_index,method,accuracy,whitespace,order,text_size,text_density
3,1,stream,97.44542736451237,17.69,1,N/A,N/A
4,2,stream,100.00000000000001,0.0,1,N/A,N/A
4,3,stream,98.50253880029416,36.21,2,N/A,N/A
5,4,stream,75.70346715376823,35.29,1,N/A,N/A
5,5,stream,87.14330396583887,46.67,2,N/A,N/A
5,6,stream,-169.618229647625,38.1,3,N/A,N/A
6,7,stream,100.00000000000001,0.0,1,N/A,N/A
7,8,stream,96.54501466951471,45.6,1,N/A,N/A
7,9,stream,86.24828272933318,30.0,2,N/A,N/A
8,10,stream,99.21843038156902,16.67,1,N/A,N/A
9,11,stream,78.60079598811852,21.05,1,N/A,N/A
9,12,stream,88.50344748309023,33.33,2,N/A,N/A
10,13,stream,94.30904498240693,40.0,1,N/A,N/A
11,14,stream,95.09988025862462,47.22,1,N/A,N/A
12,15,stream,96.59831333219674,87.01,1,N/A,N/A
12,16,stream,99.20410771007977,88.89,2,N/A,N/A
13,17,stream,-24.67285861492968,67.74,1,N/A,N/A
14,18,stream,99.85058010765599,75.71,1,N/A,N/A
15,19,stream,100.00000000000016,40.0,1,N/A,N/A
16,20,stream,99.29868285917063,81.39,1,N/A,N/A
17,21,stream,99.45384151864627,78.57,1,N/A,N/A
18,22,stream,99.37660698592943,80.52,1,N/A,N/A
19,23,stream,96.01430785577273,74.56,1,N/A,N/A
20,24,stream,98.94137911375144,70.9,1,N/A,N/A
21,25,stream,99.73120390024943,32.97,1,N/A,N/A
22,26,stream,99.74025081578732,36.08,1,N/A,N/A
23,27,stream,98.84687655312831,32.23,1,N/A,N/A
24,28,stream,98.59348841825386,37.73,1,N/A,N/A
25,29,stream,99.75946150282296,33.88,1,N/A,N/A
26,30,stream,96.61688183989578,33.33,1,N/A,N/A
27,31,stream,96.05714969654416,30.51,1,N/A,N/A
28,32,stream,95.61235257069194,70.67,1,N/A,N/A
29,33,stream,95.98016972078227,38.22,1,N/A,N/A
30,34,stream,100.0,0.0,1,N/A,N/A
31,35,stream,99.92560151732503,65.49,1,N/A,N/A
32,36,stream,98.65808361292179,55.43,1,N/A,N/A
33,37,stream,99.69472467766744,66.11,1,N/A,N/A
34,38,stream,97.5405972282323,57.22,1,N/A,N/A
35,39,stream,99.39784386231034,42.86,1,N/A,N/A
36,40,stream,96.47032781260849,61.33,1,N/A,N/A
37,41,stream,97.77418929887854,65.66,1,N/A,N/A
38,42,stream,99.9250347394574,55.71,1,N/A,N/A
39,43,stream,96.64853862658892,57.07,1,N/A,N/A
40,44,stream,96.8343012559267,58.22,1,N/A,N/A
41,45,stream,99.73099927649534,9.18,1,N/A,N/A
42,46,stream,99.6448787194691,29.81,1,N/A,N/A
43,47,stream,98.7800578111495,31.7,1,N/A,N/A
44,48,stream,99.59195496600238,5.29,1,N/A,N/A
45,49,stream,97.23882891472228,55.43,1,N/A,N/A
46,50,stream,97.16979963759034,55.88,1,N/A,N/A
47,51,stream,96.99262367930204,49.09,1,N/A,N/A
48,52,stream,100.00000000000068,3.23,1,N/A,N/A
